user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
ACN_2-39-123-23,Weekday,16,29,1,0.092,0.9672,true,0.2819,0.3975,true,
ACN_2-39-123-23,Weekday,17,42,1,0.1862,0.1101,true,0.2551,0.3234,true,
ACN_2-39-138-29,Weekday,1,15,1,0.2813,0.1866,true,0.0204,-0.2464,false,
ACN_2-39-138-29,Weekday,2,32,1,0.1897,0.2009,true,-0.089,0.0422,false,
ACN_2-39-138-29,Weekday,3,20,1,0.2143,0.3185,true,-0.3568,-0.5188,true,
ACN_2-39-138-29,Weekday,4,15,1,0.1828,0.699,true,-0.4401,-0.1821,true,
ACN_2-39-138-29,Weekday,15,46,1,0.1864,0.0831,true,-0.115,0.0084,false,
ACN_2-39-138-29,Weekday,16,20,1,0.1485,0.7709,true,0.4463,0.3098,true,
ACN_2-39-78-365,Weekday,3,19,1,0.2889,0.0844,true,-0.5093,-0.4544,true,
ACN_2-39-78-365,Weekday,16,43,1,0.1626,0.2077,true,0.2924,0.4967,true,
ACN_2-39-78-365,Weekday,17,23,1,0.1023,0.9699,true,0.3652,0.5761,true,
ACN_2-39-125-21,Weekday,2,25,1,0.199,0.2768,true,-0.2133,0.1692,false,
ACN_2-39-125-21,Weekday,3,25,1,0.2427,0.1059,true,-0.3781,-0.0969,true,
ACN_2-39-125-21,Weekday,16,33,1,0.1298,0.6367,true,0.304,0.5486,true,
ACN_2-39-125-21,Weekday,17,29,1,0.1959,0.2169,true,0.0083,0.2374,false,
ACN_2-39-125-21,Weekday,24,18,1,0.1928,0.5165,true,0.3166,0.0134,true,
ACN_2-39-89-25,Weekday,14,24,1,0.1367,0.7619,true,-0.2971,-0.2719,false,
ACN_2-39-89-25,Weekday,16,54,1,0.2163,0.0131,false,0.6835,0.4618,true,
ACN_2-39-89-25,Weekday,17,22,1,0.2147,0.2635,true,0.466,0.4896,true,
ACN_2-39-128-18,Weekday,17,25,1,0.1129,0.9083,true,0.056,0.1577,false,
ACN_2-39-128-18,Weekday,20,15,1,0.1838,0.6925,true,-0.0047,0.3357,true,
ACN_2-39-130-31,Weekday,2,16,1,0.1977,0.5602,true,0.2085,0.1588,false,
ACN_2-39-130-31,Weekday,3,17,1,0.2189,0.3901,true,-0.3142,-0.375,true,
ACN_2-39-130-31,Weekday,16,20,1,0.1677,0.6285,true,0.201,0.1429,false,
ACN_2-39-130-31,Weekday,17,18,1,0.1894,0.5397,true,0.5764,0.4324,true,
ACN_2-39-127-19,Weekday,2,32,1,0.1503,0.4675,true,0.0226,0.2575,false,
ACN_2-39-127-19,Weekday,3,19,1,0.1626,0.6979,true,-0.3267,-0.0456,true,
ACN_2-39-127-19,Weekday,16,35,1,0.1746,0.2382,true,-0.0419,-0.0585,false,
ACN_2-39-127-19,Weekday,17,22,1,0.1038,0.9721,true,0.1615,0.1564,false,
ACN_2-39-131-30,Weekday,2,31,1,0.1883,0.223,true,-0.1716,0.2903,false,
ACN_2-39-131-30,Weekday,3,16,1,0.1959,0.5721,true,-0.214,0.1441,false,
ACN_2-39-131-30,Weekday,4,17,1,0.1723,0.695,true,-0.3763,-0.3284,true,
ACN_2-39-131-30,Weekday,16,51,1,0.1188,0.4712,true,0.1385,0.1592,false,
ACN_2-39-139-28,Weekday,1,17,1,0.2077,0.4569,true,-0.1349,0.2647,false,
ACN_2-39-139-28,Weekday,2,52,1,0.1602,0.1405,true,-0.176,0.1169,false,
ACN_2-39-139-28,Weekday,3,16,1,0.1262,0.9611,true,-0.0347,0.1559,false,
ACN_2-39-139-28,Weekday,4,15,1,0.1779,0.7301,true,-0.3534,-0.4464,true,
ACN_2-39-139-28,Weekday,5,17,1,0.2851,0.1266,true,-0.3045,-0.299,true,
ACN_2-39-139-28,Weekday,15,43,1,0.2116,0.0432,false,0.065,0.0488,false,
ACN_2-39-139-28,Weekday,16,22,1,0.1803,0.4731,true,-0.2153,0.0356,false,
ACN_2-39-79-379,Weekday,1,21,1,0.2373,0.1887,true,-0.3013,-0.3273,true,
ACN_2-39-79-379,Weekday,4,24,1,0.2477,0.1059,true,0.0032,-0.1591,false,
ACN_2-39-79-379,Weekday,15,21,1,0.2249,0.2395,true,-0.6763,-0.2104,true,
ACN_2-39-79-379,Weekday,16,27,1,0.1286,0.7646,true,0.3051,0.4048,true,
ACN_2-39-79-379,Weekday,17,25,1,0.1624,0.5264,true,0.05,0.2338,false,
ACN_2-39-79-380,Weekday,1,16,1,0.2632,0.2184,true,-0.5671,-0.5118,true,
