L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.033520 nats  (excellent)
  Plug-in duration   : 0.011864 nats  (excellent)
  Idle gap           : 0.006179 nats  (excellent)
  Energy             : 0.040775 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0646   0.0618
  01   0.0909   0.1044
  02   0.0721   0.0846
  03   0.0553   0.0478
  04   0.0338   0.0272
  05   0.0245   0.0179
  06   0.0132   0.0107
  07   0.0093   0.0047
  08   0.0080   0.0025
  09   0.0013   0.0016
  10   0.0015   0.0025
  11   0.0049   0.0041
  12   0.0067   0.0052
  13   0.0349   0.0327
  14   0.0757   0.0799
  15   0.1400   0.1901
  16   0.0883   0.1093
  17   0.0387   0.0269
  18   0.0390   0.0247
  19   0.0439   0.0330
  20   0.0333   0.0313
  21   0.0318   0.0313
  22   0.0331   0.0321
  23   0.0550   0.0338
