user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
OSL_T_41,Weekday,18,16,1,0.1917,0.6,true,0.3224,0.3588,true,
TRO_R_AdO1-3,Weekday,17,52,1,0.1688,0.1048,true,0.1395,0.4583,true,
TRO_R_AdO1-3,Weekday,18,16,1,0.1698,0.7464,true,0.1745,0.7294,true,
TRO_R_AdO1-3,Weekday,20,26,1,0.2179,0.1702,true,0.1509,0.0951,false,
TRO_R_AdO1-3,Weekday,21,16,1,0.3526,0.0377,false,0.4304,0.0265,true,
OSL_S_KT202,Weekday,15,23,1,0.1687,0.5312,true,0.3962,0.3638,true,
OSL_S_KT202,Weekday,16,45,1,0.1886,0.0826,true,0.3001,0.5666,true,
OSL_S_KT202,Weekday,17,15,1,0.2986,0.1383,true,0.2427,0.7024,true,
OSL_S_KT202,Weekday,20,26,1,0.1274,0.7936,true,0.065,0.028,false,
OSL_S_KT202,Weekday,21,16,1,0.1695,0.7484,true,0.2572,0.2134,false,
PS_1222,Weekday,17,16,1,0.1878,0.6262,true,0.2031,-0.2367,false,
PS_1222,Weekday,18,26,1,0.3266,0.0079,false,-0.0959,-0.1738,false,-0.1407
KR_U434,Weekday,17,20,1,0.2317,0.2342,true,-0.1144,-0.4346,true,
KR_U434,Weekday,18,46,1,0.1602,0.1907,true,-0.142,-0.1346,false,
KR_U434,Weekday,19,17,1,0.151,0.834,true,-0.0576,-0.3374,true,
TRO_Plass41,Weekday,12,16,1,0.2737,0.1825,true,0.9557,0.2399,true,
TRO_Plass41,Weekday,13,22,1,0.2739,0.0742,true,0.0407,-0.2169,false,
TRO_Plass41,Weekday,14,17,1,0.3217,0.0597,true,0.557,0.2344,true,
TRO_Plass41,Weekday,15,19,1,0.1925,0.483,true,-0.2288,-0.2291,false,
TRO_Plass41,Weekday,16,18,1,0.1213,0.954,true,0.3407,0.1354,true,
TRO_Plass41,Weekday,17,22,1,0.2513,0.1251,true,0.8536,0.5113,true,
TRO_Plass41,Weekday,18,25,1,0.189,0.3351,true,0.0882,0.1358,false,
TRO_Plass41,Weekday,19,30,1,0.126,0.7296,true,0.1856,0.1962,false,
TRO_Plass41,Weekday,20,17,1,0.2073,0.4596,true,-0.3473,-0.1484,true,
TRO_Plass41,Weekday,21,19,1,0.0977,0.9935,true,-0.414,0.1596,true,
TRO_Plass41,Weekday,22,24,1,0.1543,0.6187,true,-0.0699,0.0478,false,
ASK_Plass45,Weekday,16,19,1,0.1532,0.7651,true,-0.0678,0.0211,false,
ASK_Plass45,Weekday,21,63,1,0.1638,0.0695,true,0.3368,0.0969,true,
ASK_Plass45,Weekday,22,23,1,0.1391,0.7666,true,0.1615,0.1285,false,
ASK_Plass55,Weekday,17,40,1,0.1163,0.654,true,-0.0122,0.1672,false,
ASK_Plass55,Weekday,18,19,1,0.1641,0.6867,true,0.6067,0.5485,true,
ASK_Plass55,Weekday,19,16,1,0.2285,0.3747,true,0.0459,0.4371,true,
ASK_Plass55,Weekday,20,16,1,0.1786,0.6881,true,0.0731,0.2441,false,
ASK_Plass55,Weekday,21,17,1,0.244,0.2647,true,0.3481,0.208,true,
KR_U1230,Weekday,18,57,1,0.1929,0.0295,false,-0.1195,-0.1698,false,
PS_1642,Weekend,13,25,1,0.2613,0.0664,true,0.2322,0.2904,false,
TRO_R_Bl2-1,Weekday,16,20,1,0.2147,0.3163,true,0.3877,0.4391,true,
TRO_R_Bl2-1,Weekday,19,17,1,0.2283,0.3395,true,0.3483,0.3799,true,
TRO_R_Bl2-1,Weekday,20,21,1,0.1838,0.4784,true,0.2073,0.2701,false,
TRO_R_Bl2-1,Weekday,21,23,1,0.0995,0.977,true,-0.0117,0.0879,false,
TRO_R_Bl2-1,Weekday,22,17,1,0.1116,0.984,true,-0.1651,-0.2083,false,
TRO_R_Bl2-1,Weekday,23,15,1,0.2028,0.569,true,0.0615,-0.0036,false,
BAR_Plass113,Weekend,18,15,1,0.1219,0.9791,true,-0.1377,0.1571,false,
TRO_R_Bl2-7,Weekday,17,15,1,0.2345,0.3826,true,0.0437,-0.025,false,
TRO_Plass45,Weekday,16,24,1,0.1996,0.2959,true,-0.1003,0.1953,false,
TRO_Plass45,Weekday,17,18,1,0.175,0.6407,true,-0.2374,-0.1208,false,
TRO_Plass45,Weekday,18,17,1,0.2067,0.4632,true,0.1032,0.0196,false,
