L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.005950 nats  (excellent)
  Plug-in duration   : 0.014907 nats  (excellent)
  Idle gap           : 0.003339 nats  (excellent)
  Energy             : 0.002928 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0192   0.0155
  01   0.0101   0.0075
  02   0.0080   0.0070
  03   0.0102   0.0099
  04   0.0106   0.0132
  05   0.0071   0.0076
  06   0.0081   0.0087
  07   0.0141   0.0145
  08   0.0148   0.0099
  09   0.0132   0.0093
  10   0.0210   0.0173
  11   0.0271   0.0227
  12   0.0309   0.0276
  13   0.0372   0.0316
  14   0.0583   0.0568
  15   0.0860   0.0888
  16   0.1145   0.1246
  17   0.1054   0.1192
  18   0.0898   0.0946
  19   0.0814   0.0812
  20   0.0774   0.0797
  21   0.0612   0.0590
  22   0.0592   0.0585
  23   0.0352   0.0355
