user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
korea|KR_U434,Weekday,17,20,1,0.2211,0.2833,true,-0.1144,-0.4346,true,
korea|KR_U434,Weekday,18,46,1,0.0909,0.8439,true,-0.142,-0.1346,false,
korea|KR_U434,Weekday,19,17,1,0.1438,0.8744,true,-0.0576,-0.3374,true,
kim|KR_1225,Weekday,18,83,1,0.1671,0.0202,false,-0.0197,-0.3122,true,
kim|KR_1225,Weekday,19,18,1,0.1589,0.7547,true,0.0729,-0.1125,false,
norway|OSL_S_KT137,Weekday,9,16,1,0.2304,0.3646,true,0.3601,0.4088,true,
norway|OSL_S_KT137,Weekday,15,15,1,0.172,0.7676,true,0.3106,0.325,true,
norway|OSL_S_KT137,Weekday,16,17,1,0.1895,0.5757,true,0.5439,0.3102,true,
norway|OSL_S_KT137,Weekday,17,46,1,0.1689,0.1469,true,0.2205,0.2814,false,
norway|OSL_S_KT137,Weekday,18,33,1,0.1126,0.7987,true,0.2124,0.2358,false,
norway|OSL_S_KT137,Weekday,19,19,1,0.136,0.8742,true,0.2408,0.1316,false,
norway|OSL_S_KT137,Weekday,21,15,1,0.1566,0.856,true,-0.1957,-0.2536,false,
norway|OSL_S_KT112,Weekday,1,17,1,0.2216,0.375,true,0.3608,0.4632,true,
norway|OSL_S_KT112,Weekday,24,35,1,0.1499,0.4134,true,-0.3511,-0.2409,true,
kim|KR_1225,Weekend,18,15,1,0.3382,0.065,true,0.1967,-0.0321,false,
norway|OSL_S_KT138,Weekend,5,27,1,0.1999,0.232,true,-0.3115,-0.6149,true,
kim|KR_70,Weekday,9,29,1,0.3623,0.001,false,-0.0946,-0.4621,true,0.1773
kim|KR_70,Weekday,10,133,1,0.2099,0.0,false,-0.1087,-0.331,true,
norway|OSL_T_71,Weekday,19,16,1,0.1182,0.9789,true,0.3105,-0.0118,true,
norway|ASK_Plass55,Weekday,17,40,1,0.1172,0.6444,true,-0.0122,0.1672,false,
norway|ASK_Plass55,Weekday,18,19,1,0.1694,0.6478,true,0.6067,0.5485,true,
norway|ASK_Plass55,Weekday,19,16,1,0.2166,0.4418,true,0.0459,0.4371,true,
norway|ASK_Plass55,Weekday,20,16,1,0.1746,0.7148,true,0.0731,0.2441,false,
norway|ASK_Plass55,Weekday,21,17,1,0.2017,0.495,true,0.3481,0.208,true,
norway|OSL_T_49,Weekday,19,25,1,0.1836,0.3699,true,0.1178,0.1908,false,
norway|OSL_T_49,Weekday,20,25,1,0.1557,0.5811,true,0.2053,0.035,false,
norway|OSL_T_49,Weekday,21,21,1,0.1713,0.5702,true,0.484,-0.1506,true,
norway|TRO_R_AdO1-2,Weekday,14,15,1,0.1619,0.8271,true,-0.0359,0.0893,false,
norway|TRO_R_AdO1-2,Weekday,17,18,1,0.2425,0.2414,true,0.2123,0.3705,true,
norway|TRO_R_AdO1-2,Weekday,21,17,1,0.1452,0.8667,true,0.0735,-0.0784,false,
norway|TRO_R_UT15-2,Weekday,17,41,1,0.346,0.0001,false,0.3514,0.5537,true,
norway|TRO_R_UT15-2,Weekday,18,16,1,0.1887,0.6201,true,-0.3114,-0.3029,true,
kim|KR_178,Weekday,8,38,1,0.137,0.4761,true,0.2531,-0.066,false,
georgia|GT_24478344,Weekday,13,42,1,0.1991,0.0725,true,0.1458,-0.3365,true,
norway|ASK_Plass57,Weekend,18,18,1,0.2038,0.4447,true,0.38,0.3325,true,
norway|ASK_Plass37,Weekday,16,16,1,0.2389,0.3216,true,0.4874,0.55,true,
norway|ASK_Plass37,Weekday,17,29,1,0.2231,0.1125,true,0.5364,0.7262,true,
norway|ASK_Plass37,Weekday,19,35,1,0.2356,0.0417,false,0.5094,0.6546,true,
norway|ASK_Plass37,Weekday,20,23,1,0.2341,0.1615,true,0.642,0.7549,true,
norway|ASK_Plass37,Weekday,21,30,1,0.1412,0.5902,true,0.0413,0.0814,false,
norway|ASK_Plass37,Weekday,22,15,1,0.2281,0.417,true,0.1972,0.1144,false,
norway|ASK_Plass37,Weekday,23,26,1,0.1747,0.4069,true,0.1607,0.3511,true,
norway|TRO_R_AsO10-1,Weekday,16,15,1,0.2515,0.2997,true,-0.0424,0.2286,false,
norway|TRO_R_AsO10-1,Weekday,17,19,1,0.2865,0.0889,true,0.3537,0.0474,true,
norway|TRO_R_AsO10-1,Weekday,21,15,1,0.2772,0.2001,true,-0.0169,0.3,false,
kim|KR_1228,Weekday,18,44,1,0.1593,0.2161,true,0.056,-0.3051,true,
kim|KR_1228,Weekday,19,62,1,0.1067,0.4839,true,-0.1401,-0.3275,true,
norway|OSL_S_KT43,Weekday,11,15,1,0.3063,0.1203,true,0.5694,0.1821,true,
norway|OSL_S_KT43,Weekday,19,20,1,0.1073,0.9756,true,0.3538,0.2466,true,
norway|OSL_S_KT43,Weekday,20,36,1,0.1139,0.741,true,0.0228,0.2054,false,
norway|OSL_S_KT43,Weekday,21,30,1,0.1325,0.6702,true,0.1248,0.259,false,
norway|OSL_S_KT43,Weekday,22,39,1,0.1116,0.7183,true,-0.0708,0.021,false,
norway|OSL_S_KT43,Weekday,23,29,1,0.2066,0.1694,true,0.2004,0.0305,false,
norway|OSL_S_KT43,Weekday,24,27,1,0.1239,0.8027,true,0.091,0.232,false,
norway|TRO_R_Bl2-3,Weekday,16,35,1,0.1118,0.7758,true,0.2514,0.0826,false,
