L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.004220 nats  (excellent)
  Plug-in duration   : 0.011936 nats  (excellent)
  Idle gap           : 0.002178 nats  (excellent)
  Energy             : 0.002124 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0170   0.0125
  01   0.0088   0.0066
  02   0.0069   0.0060
  03   0.0086   0.0078
  04   0.0089   0.0112
  05   0.0073   0.0078
  06   0.0079   0.0075
  07   0.0133   0.0131
  08   0.0177   0.0139
  09   0.0211   0.0173
  10   0.0253   0.0212
  11   0.0361   0.0338
  12   0.0409   0.0411
  13   0.0408   0.0360
  14   0.0557   0.0530
  15   0.0804   0.0821
  16   0.1151   0.1252
  17   0.1134   0.1226
  18   0.0900   0.0952
  19   0.0758   0.0748
  20   0.0701   0.0727
  21   0.0546   0.0543
  22   0.0510   0.0495
  23   0.0332   0.0348
