user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
korea|KR_U434,Weekday,17,20,1,0.2361,0.2158,true,-0.1144,-0.4346,true,
korea|KR_U434,Weekday,18,46,1,0.0867,0.8816,true,-0.142,-0.1346,false,
korea|KR_U434,Weekday,19,17,1,0.1413,0.8873,true,-0.0576,-0.3374,true,
kim|KR_1225,Weekday,18,83,1,0.1567,0.0352,false,-0.0197,-0.3122,true,
kim|KR_1225,Weekday,19,18,1,0.1569,0.7683,true,0.0729,-0.1125,false,
norway|OSL_S_KT137,Weekday,9,16,1,0.2417,0.3082,true,0.3601,0.4088,true,
norway|OSL_S_KT137,Weekday,15,15,1,0.1741,0.7545,true,0.3106,0.325,true,
norway|OSL_S_KT137,Weekday,16,17,1,0.1912,0.5641,true,0.5439,0.3102,true,
norway|OSL_S_KT137,Weekday,17,46,1,0.1603,0.1902,true,0.2205,0.2814,false,
norway|OSL_S_KT137,Weekday,18,33,1,0.1219,0.7132,true,0.2124,0.2358,false,
norway|OSL_S_KT137,Weekday,19,19,1,0.1297,0.907,true,0.2408,0.1316,false,
norway|OSL_S_KT137,Weekday,21,15,1,0.1566,0.856,true,-0.1957,-0.2536,false,
norway|OSL_S_KT112,Weekday,1,17,1,0.2246,0.3586,true,0.3608,0.4632,true,
norway|OSL_S_KT112,Weekday,24,35,1,0.162,0.3193,true,-0.3511,-0.2409,true,
kim|KR_1225,Weekend,18,15,1,0.3479,0.0533,true,0.1967,-0.0321,false,
norway|OSL_S_KT138,Weekend,5,27,1,0.2024,0.2198,true,-0.3115,-0.6149,true,
kim|KR_70,Weekday,9,29,1,0.3684,0.0008,false,-0.0946,-0.4621,true,0.3546
kim|KR_70,Weekday,10,133,1,0.229,0.0,false,-0.1087,-0.331,true,
norway|OSL_T_71,Weekday,19,16,1,0.1225,0.9702,true,0.3105,-0.0118,true,
norway|ASK_Plass55,Weekday,17,40,1,0.1176,0.6402,true,-0.0122,0.1672,false,
norway|ASK_Plass55,Weekday,18,19,1,0.165,0.6801,true,0.6067,0.5485,true,
norway|ASK_Plass55,Weekday,19,16,1,0.2233,0.4032,true,0.0459,0.4371,true,
norway|ASK_Plass55,Weekday,20,16,1,0.1675,0.7613,true,0.0731,0.2441,false,
norway|ASK_Plass55,Weekday,21,17,1,0.2045,0.4771,true,0.3481,0.208,true,
norway|OSL_T_49,Weekday,19,25,1,0.1875,0.3446,true,0.1178,0.1908,false,
norway|OSL_T_49,Weekday,20,25,1,0.1528,0.6053,true,0.2053,0.035,false,
norway|OSL_T_49,Weekday,21,21,1,0.1705,0.5761,true,0.484,-0.1506,true,
norway|TRO_R_AdO1-2,Weekday,14,15,1,0.1578,0.8496,true,-0.0359,0.0893,false,
norway|TRO_R_AdO1-2,Weekday,17,18,1,0.2434,0.2376,true,0.2123,0.3705,true,
norway|TRO_R_AdO1-2,Weekday,21,17,1,0.175,0.6759,true,0.0735,-0.0784,false,
norway|TRO_R_UT15-2,Weekday,17,41,1,0.3423,0.0001,false,0.3514,0.5537,true,
norway|TRO_R_UT15-2,Weekday,18,16,1,0.1966,0.5675,true,-0.3114,-0.3029,true,
kim|KR_178,Weekday,8,38,1,0.1447,0.4063,true,0.2531,-0.066,false,
georgia|GT_24478344,Weekday,13,42,1,0.2055,0.0584,true,0.1458,-0.3365,true,
norway|ASK_Plass57,Weekend,18,18,1,0.21,0.4067,true,0.38,0.3325,true,
norway|ASK_Plass37,Weekday,16,16,1,0.1994,0.5491,true,0.4874,0.55,true,
norway|ASK_Plass37,Weekday,17,29,1,0.227,0.1017,true,0.5364,0.7262,true,
norway|ASK_Plass37,Weekday,19,35,1,0.2353,0.0421,false,0.5094,0.6546,true,
norway|ASK_Plass37,Weekday,20,23,1,0.2372,0.151,true,0.642,0.7549,true,
norway|ASK_Plass37,Weekday,21,30,1,0.1481,0.5283,true,0.0413,0.0814,false,
norway|ASK_Plass37,Weekday,22,15,1,0.2296,0.4087,true,0.1972,0.1144,false,
norway|ASK_Plass37,Weekday,23,26,1,0.1689,0.4498,true,0.1607,0.3511,true,
norway|TRO_R_AsO10-1,Weekday,16,15,1,0.249,0.3112,true,-0.0424,0.2286,false,
norway|TRO_R_AsO10-1,Weekday,17,19,1,0.2802,0.1018,true,0.3537,0.0474,true,
norway|TRO_R_AsO10-1,Weekday,21,15,1,0.2816,0.1859,true,-0.0169,0.3,false,
kim|KR_1228,Weekday,18,44,1,0.1605,0.209,true,0.056,-0.3051,true,
kim|KR_1228,Weekday,19,62,1,0.0998,0.5718,true,-0.1401,-0.3275,true,
norway|OSL_S_KT43,Weekday,11,15,1,0.2198,0.4641,true,0.5694,0.1821,true,
norway|OSL_S_KT43,Weekday,19,20,1,0.1123,0.9628,true,0.3538,0.2466,true,
norway|OSL_S_KT43,Weekday,20,36,1,0.1205,0.6744,true,0.0228,0.2054,false,
norway|OSL_S_KT43,Weekday,21,30,1,0.1257,0.7317,true,0.1248,0.259,false,
