L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.005492 nats  (excellent)
  Plug-in duration   : 0.013753 nats  (excellent)
  Idle gap           : 0.004119 nats  (excellent)
  Energy             : 0.002453 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0170   0.0121
  01   0.0088   0.0063
  02   0.0069   0.0062
  03   0.0086   0.0092
  04   0.0089   0.0103
  05   0.0073   0.0076
  06   0.0079   0.0087
  07   0.0133   0.0133
  08   0.0177   0.0129
  09   0.0211   0.0177
  10   0.0253   0.0240
  11   0.0361   0.0324
  12   0.0409   0.0379
  13   0.0408   0.0343
  14   0.0557   0.0519
  15   0.0804   0.0818
  16   0.1151   0.1296
  17   0.1134   0.1274
  18   0.0900   0.0937
  19   0.0758   0.0754
  20   0.0701   0.0711
  21   0.0546   0.0532
  22   0.0510   0.0510
  23   0.0332   0.0322
