user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
GT_98345808,Weekday,5,113,1,0.2477,0.0,false,-0.0237,-0.2089,false,
GT_98345808,Weekday,8,18,1,0.2425,0.2414,true,0.1818,-0.4037,true,
GT_32751774,Weekday,6,95,1,0.2029,0.0009,false,0.1977,-0.1098,false,
GT_30296079,Weekday,5,42,1,0.2729,0.0039,false,-0.0891,-0.6452,true,
GT_30296079,Weekday,6,17,1,0.1835,0.617,true,-0.2222,-0.7181,true,
GT_65023200,Weekday,7,24,1,0.2282,0.165,true,0.2299,0.1391,false,
GT_65023200,Weekday,8,22,1,0.1592,0.6337,true,0.3882,0.3506,true,
GT_65023200,Weekday,9,46,1,0.0925,0.8283,true,0.5728,0.4344,true,
GT_65023200,Weekday,10,27,1,0.0878,0.9855,true,0.4126,0.3901,true,
GT_81375624,Weekday,7,80,1,0.1671,0.0238,false,0.3535,0.2281,true,
GT_81375624,Weekday,8,27,1,0.1231,0.8095,true,0.345,0.0214,true,
GT_48821751,Weekday,6,49,1,0.2295,0.0118,false,-0.166,-0.5979,true,
GT_45267948,Weekday,7,48,1,0.176,0.1037,true,-0.2176,-0.405,true,
GT_29309940,Weekday,6,25,1,0.2211,0.1745,true,0.2457,-0.1662,false,
GT_29309940,Weekday,7,22,1,0.1751,0.5112,true,0.2114,-0.2174,false,
GT_29309940,Weekday,9,44,1,0.2085,0.0443,false,-0.1839,-0.3953,true,
GT_37412595,Weekday,7,29,1,0.17,0.3734,true,0.2211,-0.1897,false,
GT_37412595,Weekday,8,18,1,0.1314,0.9155,true,-0.3167,-0.418,true,
GT_37412595,Weekday,9,25,1,0.1641,0.5128,true,-0.3255,-0.2908,true,
GT_37412595,Weekday,10,33,1,0.0665,0.9986,true,0.1701,0.1785,false,
GT_48585042,Weekday,7,20,1,0.3407,0.0194,false,-0.0854,-0.0812,false,
GT_48585042,Weekday,9,32,1,0.0706,0.9973,true,-0.4126,-0.3526,true,
GT_49241808,Weekday,7,26,1,0.133,0.7485,true,0.0034,-0.0448,false,
GT_49241808,Weekday,9,36,1,0.1415,0.469,true,-0.1303,-0.3627,true,
GT_82888443,Weekday,9,18,1,0.2375,0.263,true,-0.1741,-0.1579,false,
GT_35897499,Weekday,7,20,1,0.1337,0.8678,true,-0.0094,-0.2602,false,
GT_35897499,Weekday,8,21,1,0.3464,0.0131,false,0.6231,0.4662,true,
GT_35897499,Weekday,9,81,1,0.0774,0.7209,true,-0.0251,-0.1755,false,
GT_35897499,Weekday,10,16,1,0.1186,0.9782,true,0.6224,0.4618,true,
GT_47158353,Weekday,9,40,1,0.1089,0.7321,true,-0.0205,-0.0645,false,
GT_47158353,Weekday,10,20,1,0.2586,0.1385,true,0.0533,-0.1414,false,
GT_19555569,Weekday,7,27,1,0.131,0.7449,true,0.206,-0.0464,false,
GT_81295434,Weekday,6,28,1,0.2664,0.0381,false,0.1385,0.1407,false,
GT_24478344,Weekday,7,47,1,0.2178,0.0236,false,0.1153,-0.4435,true,
GT_88561539,Weekday,9,56,1,0.0931,0.7199,true,-0.0514,-0.1798,false,
GT_88561539,Weekday,10,17,1,0.3549,0.0278,false,0.0434,-0.1716,false,0.0721
GT_30464676,Weekday,6,60,1,0.2307,0.0035,false,0.1166,-0.2934,false,
GT_30464676,Weekday,7,16,1,0.3202,0.0756,true,0.0833,-0.5,true,
GT_46009656,Weekday,6,75,1,0.3433,0.0,false,-0.0184,-0.3213,true,
GT_74843010,Weekday,6,39,1,0.2264,0.0373,false,0.0402,-0.2668,false,
GT_97867440,Weekday,7,58,1,0.3109,0.0,false,-0.1957,-0.3935,true,
GT_97867440,Weekday,9,27,1,0.3822,0.0008,false,-0.2012,-0.3468,true,
GT_97867440,Weekday,10,21,1,0.1,0.9848,true,0.2662,-0.0779,false,
GT_50986683,Weekday,6,23,1,0.3122,0.0228,false,0.0118,-0.0534,false,
GT_50986683,Weekday,7,18,1,0.3512,0.0238,false,-0.0955,-0.517,true,
GT_81880524,Weekday,9,26,1,0.219,0.1663,true,-0.0072,-0.0626,false,
GT_86810130,Weekday,7,28,1,0.1748,0.3609,true,0.2336,-0.0597,false,
GT_86810130,Weekday,8,19,1,0.383,0.0077,false,0.1099,-0.0719,false,0.1569
GT_90692118,Weekday,7,40,1,0.1174,0.6423,true,0.1655,0.1334,false,
GT_90692118,Weekday,9,20,1,0.4036,0.003,false,-0.3525,-0.5865,true,-0.2442
GT_10909503,Weekday,6,42,1,0.2226,0.0317,false,0.2227,0.1281,false,
GT_50725917,Weekday,6,53,1,0.2948,0.0002,false,-0.2466,-0.478,true,
GT_50725917,Weekday,7,19,1,0.3515,0.0185,false,0.4172,-0.0526,true,
