L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.014646 nats  (excellent)
  Plug-in duration   : 0.023929 nats  (excellent)
  Idle gap           : 0.036909 nats  (excellent)
  Energy             : 0.022678 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0000   0.0000
  01   0.0000   0.0000
  02   0.0000   0.0000
  03   0.0000   0.0000
  04   0.0000   0.0000
  05   0.0000   0.0000
  06   0.0000   0.0000
  07   0.0000   0.0003
  08   0.0192   0.0221
  09   0.0456   0.0389
  10   0.0809   0.0892
  11   0.1579   0.1455
  12   0.1579   0.1835
  13   0.0923   0.1009
  14   0.0471   0.0374
  15   0.0460   0.0410
  16   0.1017   0.1054
  17   0.1390   0.1437
  18   0.0664   0.0572
  19   0.0279   0.0272
  20   0.0134   0.0039
  21   0.0039   0.0021
  22   0.0008   0.0015
  23   0.0000   0.0003
