user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
KR_102,Weekday,17,16,1,0.1128,0.9871,true,0.119,-0.0382,false,
KR_102,Weekday,19,17,1,0.188,0.5863,true,-0.0484,-0.0147,false,
KR_102,Weekday,20,18,1,0.1239,0.9454,true,0.2391,0.2281,false,
KR_1228,Weekend,18,21,1,0.1381,0.819,true,-0.3264,-0.4857,true,
KR_1228,Weekday,18,44,1,0.1576,0.2264,true,0.056,-0.3051,true,
KR_1228,Weekday,19,60,1,0.1059,0.515,true,-0.058,-0.2948,false,
KR_70,Weekday,9,29,1,0.3617,0.001,false,-0.0946,-0.4621,true,0.1773
KR_70,Weekday,10,133,1,0.1993,0.0001,false,-0.1087,-0.331,true,
KR_1225,Weekday,18,81,1,0.1697,0.0196,false,0.0419,-0.2965,false,
KR_1225,Weekday,19,18,1,0.1577,0.7629,true,0.0729,-0.1125,false,
KR_283,Weekday,19,15,1,0.1886,0.6611,true,0.6069,0.4393,true,
KR_187,Weekend,24,20,1,0.1529,0.7391,true,0.056,-0.1263,false,
KR_178,Weekday,8,38,1,0.1317,0.5279,true,0.2531,-0.066,false,
KR_89,Weekday,6,35,1,0.4218,0.0,false,-0.0312,-0.3493,true,
KR_89,Weekday,7,29,1,0.4289,0.0,false,-0.1562,-0.2685,false,-0.1232
KR_422,Weekday,17,22,1,0.21,0.2875,true,0.1425,-0.1779,false,
KR_223,Weekday,9,25,1,0.0998,0.965,true,-0.3341,-0.4331,true,
KR_223,Weekday,10,18,1,0.1086,0.9838,true,0.0509,-0.1207,false,
KR_1447,Weekday,17,26,1,0.1594,0.5251,true,0.1306,-0.0482,false,
KR_401,Weekday,17,25,1,0.0992,0.9668,true,0.0788,-0.1531,false,
KR_160,Weekday,17,24,1,0.0945,0.9831,true,-0.1771,-0.2574,false,
KR_160,Weekday,18,37,1,0.1367,0.4966,true,-0.3215,-0.3743,true,
KR_1629,Weekday,9,18,1,0.183,0.584,true,-0.0036,0.2303,false,
KR_4,Weekday,13,22,1,0.1282,0.8632,true,-0.1394,-0.1531,false,
KR_4,Weekday,14,15,1,0.2107,0.5193,true,0.2554,0.1286,false,
KR_4,Weekday,19,19,1,0.1511,0.7793,true,0.5041,0.5509,true,
KR_98,Weekday,16,15,1,0.1279,0.967,true,0.7137,0.625,true,
KR_98,Weekday,17,15,1,0.1683,0.7897,true,0.158,0.0571,false,
KR_98,Weekday,18,16,1,0.1081,0.9922,true,0.0607,0.1412,false,
KR_20,Weekday,15,16,1,0.2241,0.3987,true,0.017,-0.1088,false,
KR_20,Weekday,16,25,1,0.1468,0.6557,true,0.0333,-0.0862,false,
KR_20,Weekday,17,47,1,0.1784,0.1016,true,0.0777,-0.0769,false,
KR_20,Weekday,18,17,1,0.1099,0.9866,true,0.1916,-0.0123,false,
KR_927,Weekday,20,15,1,0.3895,0.0213,false,0.5547,-0.0964,true,0.4937
KR_927,Weekday,24,21,1,0.1826,0.4866,true,0.0496,0.0818,false,
KR_29,Weekday,17,72,1,0.1799,0.0195,false,0.0518,-0.3773,true,
KR_29,Weekday,18,94,1,0.1627,0.0145,false,-0.0663,-0.5679,true,
KR_187,Weekday,24,43,1,0.1928,0.0828,true,0.1868,-0.0957,false,
