L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.015531 nats  (excellent)
  Plug-in duration   : 0.034069 nats  (excellent)
  Idle gap           : 0.068926 nats  (acceptable)
  Energy             : 0.025508 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0107   0.0040
  01   0.0040   0.0015
  02   0.0027   0.0017
  03   0.0010   0.0035
  04   0.0003   0.0027
  05   0.0161   0.0169
  06   0.0127   0.0119
  07   0.0167   0.0154
  08   0.0445   0.0398
  09   0.0749   0.0649
  10   0.0191   0.0172
  11   0.0174   0.0184
  12   0.0355   0.0313
  13   0.0311   0.0311
  14   0.0378   0.0276
  15   0.0562   0.0527
  16   0.1321   0.1529
  17   0.1669   0.1691
  18   0.1120   0.1047
  19   0.0635   0.0728
  20   0.0502   0.0559
  21   0.0351   0.0333
  22   0.0171   0.0224
  23   0.0425   0.0482
