user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
KR_U195,Weekday,10,20,1,0.0891,0.9974,true,-0.0977,-0.079,false,
KR_U187,Weekday,1,15,2,0.1519,0.8801,true,0.3304,-0.0197,true,
KR_U187,Weekday,12,46,1,0.171,0.1374,true,0.1155,-0.0799,false,
KR_U434,Weekday,5,19,1,0.1166,0.9588,true,-0.2375,-0.3667,true,
KR_U434,Weekday,9,66,1,0.0836,0.7488,true,-0.1399,-0.1738,false,
KR_U434,Weekday,10,18,1,0.3027,0.0743,true,-0.0586,-0.282,false,
KR_U89,Weekday,3,35,1,0.1641,0.3043,true,-0.0295,-0.3603,true,
KR_U89,Weekday,4,30,1,0.4355,0.0,false,-0.0812,-0.2741,false,
KR_U124,Weekend,10,19,1,0.2478,0.1947,true,-0.4886,-0.614,true,
KR_U1230,Weekend,9,15,1,0.2014,0.5781,true,0.2669,0.2,false,
KR_U507,Weekday,10,20,1,0.191,0.4603,true,0.0127,-0.2219,false,
KR_U1228,Weekday,9,46,1,0.1558,0.2165,true,0.0408,-0.2948,false,
KR_U1228,Weekday,10,67,1,0.0998,0.5211,true,-0.1254,-0.3229,true,
KR_U1230,Weekday,9,58,1,0.1267,0.3129,true,-0.076,-0.1256,false,
KR_U127,Weekday,8,48,1,0.0949,0.7828,true,0.3376,0.2451,true,
KR_U127,Weekday,9,45,1,0.2251,0.0213,false,0.1652,-0.1237,false,
KR_U1225,Weekend,9,23,1,0.2963,0.0356,false,0.0158,-0.1226,false,0.1028
KR_U1446,Weekday,9,57,1,0.1462,0.1772,true,-0.219,-0.2732,false,
KR_U280,Weekday,1,25,1,0.1044,0.9486,true,0.1312,-0.0038,false,
KR_U236,Weekday,10,15,1,0.1551,0.8638,true,0.22,0.2913,false,
KR_U236,Weekday,11,20,1,0.1192,0.9393,true,0.4531,0.4288,true,
KR_U98,Weekday,8,25,1,0.114,0.9022,true,0.1763,0.1962,false,
KR_U98,Weekday,9,33,1,0.136,0.5772,true,0.103,0.119,false,
KR_U98,Weekday,10,25,1,0.0765,0.9986,true,0.1696,0.2085,false,
KR_U186,Weekday,10,52,1,0.1378,0.2793,true,0.1975,0.1165,false,
KR_U73,Weekday,6,39,1,0.243,0.0203,false,0.4781,0.0767,true,
KR_U73,Weekday,7,16,1,0.1622,0.7947,true,0.5771,0.5735,true,
KR_U73,Weekday,8,24,1,0.1372,0.758,true,0.3752,0.3075,true,
KR_U109,Weekday,10,21,1,0.1051,0.9748,true,0.5334,0.4756,true,
KR_U109,Weekday,12,19,1,0.123,0.9365,true,-0.153,-0.3126,true,
KR_U106,Weekday,10,43,1,0.1446,0.3326,true,-0.0083,-0.0274,false,
KR_U106,Weekday,11,46,1,0.1319,0.4032,true,0.1461,0.2803,false,
KR_U199,Weekday,10,19,1,0.1701,0.6431,true,-0.2425,-0.2439,false,
KR_U199,Weekday,11,26,1,0.1013,0.9529,true,-0.0909,-0.0482,false,
KR_U194,Weekday,12,25,1,0.1747,0.4319,true,0.2464,0.2149,false,
KR_U8,Weekday,9,36,1,0.1491,0.4021,true,0.3256,0.2724,true,
KR_U8,Weekday,10,29,1,0.2245,0.1085,true,0.2253,0.1082,false,
KR_U124,Weekday,10,49,1,0.2103,0.0268,false,-0.2204,-0.4301,true,
KR_U1225,Weekday,9,84,1,0.1549,0.0368,false,-0.02,-0.3031,true,
KR_U1225,Weekday,10,19,1,0.1437,0.8282,true,0.0124,-0.2551,false,
KR_U107,Weekday,10,24,1,0.2548,0.0893,true,-0.0795,0.1435,false,
KR_U107,Weekday,11,15,1,0.1961,0.6122,true,-0.0245,-0.0036,false,
KR_U1629,Weekday,5,26,1,0.2016,0.2424,true,-0.1784,0.0899,false,
KR_U1629,Weekday,7,20,1,0.1974,0.4182,true,0.5655,0.4259,true,
KR_U1629,Weekday,8,15,1,0.1102,0.9933,true,-0.0478,-0.0036,false,
KR_U291,Weekday,9,19,1,0.1393,0.8553,true,0.1287,0.3344,true,
KR_U187,Weekend,12,20,1,0.1667,0.636,true,0.0558,-0.1211,false,
KR_U283,Weekday,10,28,1,0.1395,0.6492,true,0.1711,0.061,false,
KR_U463,Weekday,4,56,1,0.1787,0.057,true,0.1109,0.427,true,
KR_U463,Weekday,5,15,1,0.2998,0.1353,true,-0.1181,-0.227,false,
KR_U463,Weekday,6,35,1,0.0703,0.9953,true,-0.0362,0.0059,false,
KR_U463,Weekday,7,15,1,0.3208,0.0916,true,-0.2567,-0.4576,true,
KR_U1222,Weekday,9,57,1,0.1249,0.3395,true,-0.0544,0.0408,false,
KR_U1764,Weekday,10,28,1,0.1752,0.3584,true,0.373,0.1881,true,
KR_U1228,Weekend,9,28,1,0.1098,0.8894,true,-0.3076,-0.4279,true,
