user_id,day_type,bin,n_bin,fallback,pi0,D_family,G_family,E_family,A_family,n_pool_A
KR_U195,Weekday,1,0,2,0.0,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,2,0,2,0.0,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,3,0,2,0.0,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,4,0,2,0.0,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,5,2,2,0.0408,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,6,2,2,0.0408,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,7,1,2,0.0204,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,8,1,2,0.0204,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,9,5,2,0.102,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),5
KR_U195,Weekday,10,20,1,0.4082,LogNormal,TruncGMM(K=4),LogNormal,Weibull,20
KR_U195,Weekday,11,4,2,0.0816,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,12,14,2,0.2857,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),14
KR_U187,Weekday,1,15,2,0.2459,TruncGMM(K=2),TruncGMM(K=4),Weibull,TruncGMM(K=2),15
KR_U187,Weekday,2,0,2,0.0,TruncGMM(K=2),TruncGMM(K=3),TruncGMM(K=2),TruncGMM(K=2),20
KR_U187,Weekday,3,0,2,0.0,TruncGMM(K=2),TruncGMM(K=3),TruncGMM(K=2),TruncGMM(K=2),20
KR_U187,Weekday,4,0,2,0.0,TruncGMM(K=2),TruncGMM(K=3),TruncGMM(K=2),TruncGMM(K=2),20
KR_U187,Weekday,5,0,2,0.0,TruncGMM(K=2),TruncGMM(K=3),TruncGMM(K=2),TruncGMM(K=2),20
