location,user_id,session_id,duration_hours,energy,start_date,start_time,end_date,end_time,start_hour,end_hour,month,day,duration_minutes,day_type,user_id_num,abs_start,abs_end,arrival_hour
CH5,KR_U98,KR61,1.2333333333333334,8.6,2022-08-14,09:27:00.0,2022-08-14,10:41:00.0,9,10,August,Sunday,74.0,Weekend,1,2022-08-14T09:27:00.0,2022-08-14T10:41:00.0,9.45
CH5,KR_U98,KR62,9.433333333333334,2.8,2022-08-13,18:09:00.0,2022-08-14,03:35:00.0,18,3,August,Saturday,566.0,Weekend,1,2022-08-13T18:09:00.0,2022-08-14T03:35:00.0,18.15
CH5,KR_U98,KR63,6.866666666666666,48.8,2022-08-08,18:02:00.0,2022-08-09,00:54:00.0,18,0,August,Monday,412.0,Weekday,1,2022-08-08T18:02:00.0,2022-08-09T00:54:00.0,18.033333333333335
CH5,KR_U98,KR64,4.6,32.5,2022-08-05,22:17:00.0,2022-08-06,02:53:00.0,22,2,August,Friday,276.0,Weekday,1,2022-08-05T22:17:00.0,2022-08-06T02:53:00.0,22.283333333333335
CH5,KR_U98,KR65,2.4166666666666665,17.2,2022-07-18,12:32:00.0,2022-07-18,14:57:00.0,12,14,July,Monday,145.0,Weekday,1,2022-07-18T12:32:00.0,2022-07-18T14:57:00.0,12.533333333333333
CH5,KR_U98,KR66,0.6833333333333333,4.8,2022-06-30,15:25:00.0,2022-06-30,16:06:00.0,15,16,June,Thursday,41.0,Weekday,1,2022-06-30T15:25:00.0,2022-06-30T16:06:00.0,15.416666666666666
CH5,KR_U98,KR67,4.516666666666667,32.2,2022-01-22,08:35:00.0,2022-01-22,13:06:00.0,8,13,January,Saturday,271.0,Weekend,1,2022-01-22T08:35:00.0,2022-01-22T13:06:00.0,8.583333333333334
CH5,KR_U98,KR68,6.6,47.2,2021-10-25,19:02:00.0,2021-10-26,01:38:00.0,19,1,October,Monday,396.0,Weekday,1,2021-10-25T19:02:00.0,2021-10-26T01:38:00.0,19.033333333333335
CH5,KR_U98,KR69,4.266666666666667,30.7,2021-10-27,18:27:00.0,2021-10-27,22:43:00.0,18,22,October,Wednesday,256.0,Weekday,1,2021-10-27T18:27:00.0,2021-10-27T22:43:00.0,18.45
CH5,KR_U109,KR70,2.5833333333333335,18.5,2022-09-14,19:28:00.0,2022-09-14,22:03:00.0,19,22,September,Wednesday,155.0,Weekday,2,2022-09-14T19:28:00.0,2022-09-14T22:03:00.0,19.466666666666665
CH5,KR_U109,KR71,2.1666666666666665,15.4,2022-09-12,20:29:00.0,2022-09-12,22:39:00.0,20,22,September,Monday,130.0,Weekday,2,2022-09-12T20:29:00.0,2022-09-12T22:39:00.0,20.483333333333334
CH5,KR_U109,KR72,1.2166666666666666,8.8,2022-09-19,21:00:00.0,2022-09-19,22:13:00.0,21,22,September,Monday,73.0,Weekday,2,2022-09-19T21:00:00.0,2022-09-19T22:13:00.0,21.0
CH5,KR_U109,KR73,3.1,22.2,2022-08-07,17:34:00.0,2022-08-07,20:40:00.0,17,20,August,Sunday,186.0,Weekend,2,2022-08-07T17:34:00.0,2022-08-07T20:40:00.0,17.566666666666666
CH5,KR_U109,KR74,0.6833333333333333,4.7,2022-08-06,14:32:00.0,2022-08-06,15:13:00.0,14,15,August,Saturday,41.0,Weekend,2,2022-08-06T14:32:00.0,2022-08-06T15:13:00.0,14.533333333333333
CH5,KR_U109,KR75,1.5166666666666666,10.8,2022-08-02,16:27:00.0,2022-08-02,17:58:00.0,16,17,August,Tuesday,91.0,Weekday,2,2022-08-02T16:27:00.0,2022-08-02T17:58:00.0,16.45
CH5,KR_U109,KR76,0.95,6.3,2022-08-02,10:30:00.0,2022-08-02,11:27:00.0,10,11,August,Tuesday,57.0,Weekday,2,2022-08-02T10:30:00.0,2022-08-02T11:27:00.0,10.5
CH5,KR_U109,KR77,2.216666666666667,15.9,2022-08-30,15:43:00.0,2022-08-30,17:56:00.0,15,17,August,Tuesday,133.0,Weekday,2,2022-08-30T15:43:00.0,2022-08-30T17:56:00.0,15.716666666666667
CH5,KR_U109,KR78,3.2666666666666666,23.5,2022-07-21,15:20:00.0,2022-07-21,18:36:00.0,15,18,July,Thursday,196.0,Weekday,2,2022-07-21T15:20:00.0,2022-07-21T18:36:00.0,15.333333333333334
CH5,KR_U109,KR79,2.7333333333333334,19.7,2022-07-26,19:16:00.0,2022-07-26,22:00:00.0,19,22,July,Tuesday,164.0,Weekday,2,2022-07-26T19:16:00.0,2022-07-26T22:00:00.0,19.266666666666666
CH5,KR_U109,KR80,3.2333333333333334,23.1,2022-06-02,22:55:00.0,2022-06-03,02:09:00.0,22,2,June,Thursday,194.0,Weekday,2,2022-06-02T22:55:00.0,2022-06-03T02:09:00.0,22.916666666666668
CH5,KR_U109,KR81,2.55,18.1,2022-06-04,00:08:00.0,2022-06-04,02:41:00.0,0,2,June,Saturday,153.0,Weekend,2,2022-06-04T00:08:00.0,2022-06-04T02:41:00.0,0.13333333333333333
CH5,KR_U109,KR82,1.9333333333333333,13.8,2022-06-06,22:20:00.0,2022-06-07,00:16:00.0,22,0,June,Monday,116.0,Weekday,2,2022-06-06T22:20:00.0,2022-06-07T00:16:00.0,22.333333333333332
CH5,KR_U109,KR83,2.1,14.9,2022-06-09,23:18:00.0,2022-06-10,01:24:00.0,23,1,June,Thursday,126.0,Weekday,2,2022-06-09T23:18:00.0,2022-06-10T01:24:00.0,23.3
CH5,KR_U109,KR84,2.933333333333333,20.9,2022-06-11,21:13:00.0,2022-06-12,00:09:00.0,21,0,June,Saturday,176.0,Weekend,2,2022-06-11T21:13:00.0,2022-06-12T00:09:00.0,21.216666666666665
CH5,KR_U109,KR85,0.7333333333333333,5.2,2022-06-13,23:21:00.0,2022-06-14,00:05:00.0,23,0,June,Monday,44.0,Weekday,2,2022-06-13T23:21:00.0,2022-06-14T00:05:00.0,23.35
CH5,KR_U109,KR86,1.9333333333333333,13.8,2022-06-14,00:19:00.0,2022-06-14,02:15:00.0,0,2,June,Tuesday,116.0,Weekday,2,2022-06-14T00:19:00.0,2022-06-14T02:15:00.0,0.31666666666666665
CH5,KR_U109,KR87,2.183333333333333,15.6,2022-06-18,23:16:00.0,2022-06-19,01:27:00.0,23,1,June,Saturday,131.0,Weekend,2,2022-06-18T23:16:00.0,2022-06-19T01:27:00.0,23.266666666666666
CH5,KR_U109,KR88,3.6166666666666667,25.8,2022-06-21,22:59:00.0,2022-06-22,02:36:00.0,22,2,June,Tuesday,217.0,Weekday,2,2022-06-21T22:59:00.0,2022-06-22T02:36:00.0,22.983333333333334
CH5,KR_U109,KR89,2.1666666666666665,15.4,2022-05-09,23:07:00.0,2022-05-10,01:17:00.0,23,1,May,Monday,130.0,Weekday,2,2022-05-09T23:07:00.0,2022-05-10T01:17:00.0,23.116666666666667
