user_id,day_type,bin,calendar_date,arrival_hour,duration_h,gap_h,tau_eff_h,energy_kwh
KR_U98,Weekday,9,2021-10-05,16.4562,10.0634,61.3091,71.3725,36.2844
KR_U98,Weekday,8,2021-10-11,14.7662,5.6336,87.6961,93.3297,39.1629
KR_U98,Weekday,8,2021-10-18,14.8227,5.385,97.5204,102.9054,37.753
KR_U98,Weekday,8,2021-10-18,14.8322,5.4324,11.4348,16.8673,44.4065
KR_U98,Weekday,8,2021-10-25,15.1198,6.759,96.7961,103.5551,40.6219
KR_U98,Weekday,9,2021-10-28,17.3474,6.8464,62.7139,69.5603,34.6391
KR_U98,Weekday,7,2021-11-04,18.4417,5.8208,119.8751,125.6958,17.1713
KR_U98,Weekday,9,2021-11-05,17.1256,3.1288,29.0365,32.1652,35.9869
KR_U98,Weekday,8,2021-11-11,14.7144,4.0778,82.1767,86.2544,44.9065
KR_U98,Weekday,8,2021-11-17,15.2215,5.6443,96.319,101.9633,27.458
KR_U98,Weekday,8,2021-11-17,15.8216,8.3268,3.4941,11.8209,41.35
KR_U98,Weekday,9,2021-11-22,16.2305,6.2159,51.1829,57.3988,52.5347
KR_U98,Weekday,9,2021-11-25,16.6666,7.2323,58.2084,65.4407,4.5715
KR_U98,Weekday,8,2021-11-30,15.0826,0.8085,76.4847,77.2932,43.8933
KR_U98,Weekday,10,2021-12-03,19.0687,8.9107,60.623,69.5337,46.3002
KR_U98,Weekday,9,2021-12-07,16.4437,4.7019,44.8557,49.5576,32.0005
KR_U98,Weekday,9,2021-12-09,17.5416,4.7547,44.0215,48.7763,52.0832
KR_U98,Weekday,1,2021-12-13,18.5128,3.7078,40.9478,44.6556,32.7513
KR_U98,Weekday,8,2021-12-15,15.1998,4.1291,42.6939,46.823,39.0371
KR_U98,Weekday,8,2021-12-15,15.7389,4.948,8.7618,13.7098,16.7958
KR_U98,Weekday,5,2021-12-17,15.1553,8.2573,42.184,50.4413,44.8849
KR_U98,Weekday,10,2021-12-20,18.9523,4.6335,16.8239,21.4574,24.6636
KR_U98,Weekday,7,2021-12-21,14.9369,4.9664,17.7269,22.6933,40.0183
KR_U98,Weekday,9,2021-12-28,17.0421,6.8065,99.6889,106.4954,51.7857
KR_U98,Weekday,8,2021-12-28,13.4894,5.9359,15.6839,21.6198,37.708
KR_U98,Weekday,8,2021-12-31,14.9979,5.9828,45.7989,51.7817,39.7151
