L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.010090 nats  (excellent)
  Plug-in duration   : 0.018966 nats  (excellent)
  Idle gap           : 0.002980 nats  (excellent)
  Energy             : 0.002625 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0207   0.0168
  01   0.0115   0.0094
  02   0.0079   0.0069
  03   0.0110   0.0119
  04   0.0118   0.0131
  05   0.0042   0.0048
  06   0.0046   0.0036
  07   0.0087   0.0047
  08   0.0125   0.0076
  09   0.0108   0.0074
  10   0.0176   0.0125
  11   0.0259   0.0176
  12   0.0302   0.0240
  13   0.0383   0.0323
  14   0.0626   0.0634
  15   0.0937   0.0961
  16   0.1214   0.1316
  17   0.0930   0.1054
  18   0.0828   0.0867
  19   0.0829   0.0907
  20   0.0838   0.0874
  21   0.0667   0.0683
  22   0.0614   0.0605
  23   0.0357   0.0375
