user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
OSL_T_41,Weekday,9,28,1,0.172,0.3809,true,0.0208,-0.0536,false,
OSL_T_41,Weekday,10,15,1,0.2205,0.4602,true,0.564,0.3429,true,
OSL_T_41,Weekday,11,18,1,0.1854,0.5673,true,-0.4552,-0.2611,true,
TRO_R_AdO1-3,Weekday,9,68,1,0.1416,0.1334,true,0.1527,0.5207,true,
TRO_R_AdO1-3,Weekday,10,37,1,0.1242,0.6199,true,0.2025,0.3246,true,
TRO_R_AdO1-3,Weekday,11,30,1,0.1392,0.6082,true,0.0216,-0.0149,false,
OSL_S_KT202,Weekday,8,68,1,0.2021,0.008,false,0.3158,0.5066,true,
OSL_S_KT202,Weekday,9,24,1,0.1957,0.3183,true,0.1803,0.5288,true,
OSL_S_KT202,Weekday,10,39,1,0.1116,0.719,true,0.2553,0.2849,false,
OSL_S_KT202,Weekday,11,28,1,0.1276,0.7539,true,0.1106,0.0454,false,
TRO_Plass41,Weekday,5,17,1,0.1661,0.7373,true,-0.1689,-0.0111,false,
TRO_Plass41,Weekday,6,29,1,0.1821,0.2928,true,0.6129,0.2952,true,
TRO_Plass41,Weekday,7,39,1,0.3067,0.0013,false,0.5708,-0.0018,true,0.3793
TRO_Plass41,Weekday,8,37,1,0.1649,0.2688,true,0.0651,-0.0333,false,
TRO_Plass41,Weekday,9,47,1,0.1703,0.1324,true,0.3817,0.4054,true,
TRO_Plass41,Weekday,10,47,1,0.1242,0.466,true,0.1173,0.0763,false,
TRO_Plass41,Weekday,11,43,1,0.1178,0.5923,true,-0.2424,0.1326,false,
TRO_Plass41,Weekday,12,26,1,0.1778,0.3854,true,-0.1645,-0.3892,true,
ASK_Plass45,Weekday,8,23,1,0.1322,0.8171,true,-0.0531,-0.0119,false,
ASK_Plass45,Weekday,10,17,1,0.1537,0.8174,true,-0.044,-0.1275,false,
ASK_Plass45,Weekday,11,86,1,0.1693,0.0151,false,0.2726,0.0577,false,
ASK_Plass55,Weekday,8,19,1,0.2162,0.3378,true,0.2888,0.3263,true,
ASK_Plass55,Weekday,9,59,1,0.111,0.4652,true,0.0984,0.2469,false,
ASK_Plass55,Weekday,10,32,1,0.1461,0.5034,true,0.084,0.2768,false,
ASK_Plass55,Weekday,11,27,1,0.1965,0.2494,true,0.0669,-0.1721,false,
TRO_R_Bl2-1,Weekday,8,28,1,0.1764,0.3501,true,0.4595,0.4373,true,
TRO_R_Bl2-1,Weekday,9,24,1,0.2115,0.2345,true,0.3688,0.64,true,
TRO_R_Bl2-1,Weekday,10,38,1,0.1588,0.2952,true,0.2852,0.2949,false,
TRO_R_Bl2-1,Weekday,11,40,1,0.0878,0.9185,true,0.0413,-0.0272,false,
TRO_R_Bl2-1,Weekday,12,16,1,0.179,0.6854,true,-0.0212,-0.1118,false,
BAR_2_Plass14,Weekday,11,18,1,0.1377,0.8852,true,0.514,0.2095,true,
BAR_2_Plass14,Weekday,12,16,1,0.138,0.9212,true,-0.0632,0.1206,false,
BAR_Plass113,Weekend,9,25,1,0.1353,0.7513,true,-0.0225,0.2846,false,
BAR_Plass113,Weekend,10,23,1,0.1499,0.6814,true,0.1986,0.0543,false,
TRO_R_Bl2-7,Weekday,8,15,1,0.2799,0.1912,true,-0.1762,-0.1286,false,
TRO_R_Bl2-7,Weekday,9,24,1,0.1805,0.4166,true,-0.0942,-0.2031,false,
TRO_R_Bl2-7,Weekday,10,19,1,0.2525,0.1779,true,-0.0376,-0.1211,false,
TRO_R_Bl2-7,Weekday,11,18,1,0.2618,0.1702,true,-0.2389,-0.5893,true,
TRO_Plass45,Weekday,8,33,1,0.1474,0.4726,true,0.0746,0.3722,true,
TRO_Plass45,Weekday,9,35,1,0.1415,0.4877,true,-0.0628,-0.1751,false,
TRO_Plass45,Weekday,10,18,1,0.1931,0.5143,true,-0.3326,-0.5225,true,
TRO_Plass45,Weekday,11,16,1,0.1456,0.8873,true,-0.1895,0.0294,false,
ASK_Plass29,Weekday,8,51,1,0.2614,0.002,false,0.3987,0.4062,true,
ASK_Plass29,Weekday,9,70,1,0.28,0.0,false,0.3754,0.672,true,0.6696
ASK_Plass29,Weekday,10,90,1,0.118,0.1664,true,0.047,0.268,false,
ASK_Plass29,Weekday,11,91,1,0.2768,0.0,false,0.2146,0.1246,false,
ASK_Plass29,Weekday,12,20,1,0.3026,0.0517,true,0.2118,0.2364,false,
TRO_R_SR2-3,Weekday,9,26,1,0.159,0.5287,true,0.2585,0.4783,true,
TRO_R_SR2-3,Weekday,10,17,1,0.2161,0.4064,true,0.4901,0.4902,true,
TRO_R_SR2-3,Weekday,11,28,1,0.1896,0.2682,true,0.0635,0.2846,false,
ASK_Plass23,Weekend,8,19,1,0.2384,0.2312,true,0.4614,0.7193,true,
ASK_Plass23,Weekend,9,28,1,0.1704,0.392,true,0.2163,0.4702,true,
ASK_Plass23,Weekend,10,25,1,0.1952,0.298,true,-0.0203,-0.2692,false,
ASK_Plass23,Weekend,11,27,1,0.1547,0.5397,true,-0.0165,0.0308,false,
BAR_2_Plass9,Weekday,8,16,1,0.2091,0.4872,true,0.3985,0.4235,true,
BAR_2_Plass9,Weekday,9,23,1,0.1065,0.9572,true,-0.2958,-0.1265,false,
BAR_2_Plass9,Weekday,10,22,1,0.1298,0.8534,true,0.0765,0.2355,false,
BAR_2_Plass9,Weekday,11,17,1,0.1421,0.8828,true,0.2938,0.2675,false,
BAR_2_Plass9,Weekday,12,22,1,0.1318,0.8405,true,0.2715,0.2016,false,
ASK_Plass57,Weekend,8,23,1,0.2571,0.0964,true,0.7285,0.6937,true,
ASK_Plass57,Weekend,9,26,1,0.1846,0.34,true,0.284,0.2843,false,
ASK_Plass57,Weekend,10,24,1,0.1283,0.8253,true,-0.227,0.0457,false,
OSL_S_KT149,Weekday,4,24,1,0.1687,0.5036,true,0.0902,0.3096,true,
OSL_S_KT149,Weekday,10,16,1,0.1192,0.9771,true,0.2034,0.156,false,
OSL_S_KT149,Weekday,11,18,1,0.1425,0.8589,true,-0.0524,0.1723,false,
OSL_S_KT149,Weekday,12,46,1,0.1153,0.5766,true,0.2415,0.3289,true,
OSL_S_KT112,Weekend,12,15,1,0.1625,0.8237,true,0.091,0.0786,false,
BAR_Plass153,Weekday,8,24,1,0.2252,0.1761,true,-0.1207,0.1144,false,
TRO_R_AsO2-1,Weekday,9,84,1,0.2542,0.0,false,0.0535,0.1004,false,
