user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
PS_1222,Weekday,17,16,1,0.1883,0.6228,true,0.2031,-0.2367,false,
PS_1222,Weekday,18,26,1,0.3284,0.0074,false,-0.0959,-0.1738,false,-0.1407
PS_1642,Weekend,13,25,1,0.2563,0.0755,true,0.2322,0.2904,false,
PS_6139,Weekend,23,36,1,0.2,0.1134,true,0.0343,-0.1494,false,
PS_27,Weekday,17,24,1,0.3137,0.018,false,-0.4396,-0.1653,true,
PS_27,Weekday,20,17,1,0.161,0.7709,true,0.3687,-0.0467,true,
PS_5679,Weekday,15,16,1,0.1659,0.7715,true,-0.1777,-0.3412,true,
PS_8156,Weekday,8,15,1,0.2942,0.1497,true,-0.2593,-0.1522,false,
PS_8156,Weekday,18,19,1,0.1963,0.4579,true,0.5033,0.2474,true,
PS_8156,Weekday,19,57,1,0.1906,0.0325,false,0.0628,0.0531,false,
PS_8156,Weekday,20,82,1,0.1548,0.0406,false,-0.163,-0.2949,false,
PS_8156,Weekday,21,18,1,0.1608,0.7413,true,0.117,0.2552,false,
PS_8156,Weekday,23,15,1,0.2857,0.1732,true,-0.1003,-0.2129,false,
PS_8156,Weekend,12,15,1,0.1143,0.9897,true,-0.2075,-0.4043,true,
PS_6139,Weekday,9,18,1,0.3075,0.0668,true,-0.1946,-0.2708,false,
PS_6139,Weekday,21,16,1,0.3608,0.0312,false,-0.1997,-0.6973,true,
PS_6139,Weekday,23,104,1,0.3209,0.0,false,-0.0368,-0.0134,false,
PS_4373,Weekday,8,83,1,0.1097,0.2747,true,-0.2307,-0.5732,true,
PS_4373,Weekday,9,15,1,0.1765,0.739,true,0.1753,0.0715,false,
PS_4373,Weekday,16,16,1,0.3022,0.1081,true,-0.6325,-0.5475,true,
PS_4373,Weekday,17,47,1,0.1768,0.1074,true,-0.1457,-0.1955,false,
PS_4373,Weekday,18,87,1,0.2198,0.0005,false,0.1,-0.165,false,
PS_4373,Weekday,19,27,1,0.1443,0.629,true,-0.3007,-0.453,true,
PS_4767,Weekday,19,31,1,0.1875,0.2274,true,0.3721,0.3589,true,
PS_1642,Weekday,8,23,1,0.1528,0.6577,true,0.385,0.1642,true,
PS_1642,Weekday,16,22,1,0.1709,0.5428,true,-0.4051,-0.4003,true,
PS_1642,Weekday,17,51,1,0.292,0.0003,false,-0.1175,-0.1823,false,0.0253
PS_1642,Weekday,18,50,1,0.2456,0.0049,false,-0.1361,-0.2697,false,
PS_1642,Weekday,21,22,1,0.1835,0.4508,true,-0.3709,-0.511,true,
PS_1642,Weekday,22,16,1,0.2195,0.4248,true,-0.2664,-0.3549,true,
PS_3000,Weekday,3,21,1,0.2977,0.0488,false,-0.1991,-0.4557,true,
PS_3000,Weekday,4,20,1,0.2529,0.1556,true,0.2598,0.0873,false,
PS_3000,Weekday,6,17,1,0.1456,0.8647,true,-0.1786,-0.4169,true,
PS_3000,Weekday,7,15,1,0.1847,0.6863,true,0.1071,0.1537,false,
