L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.034261 nats  (excellent)
  Plug-in duration   : 0.021408 nats  (excellent)
  Idle gap           : 0.025218 nats  (excellent)
  Energy             : 0.015267 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0045   0.0004
  01   0.0009   0.0004
  02   0.0150   0.0125
  03   0.0127   0.0108
  04   0.0059   0.0012
  05   0.0145   0.0125
  06   0.0173   0.0166
  07   0.0650   0.0757
  08   0.0305   0.0208
  09   0.0218   0.0166
  10   0.0323   0.0262
  11   0.0359   0.0283
  12   0.0409   0.0437
  13   0.0368   0.0287
  14   0.0377   0.0358
  15   0.0555   0.0549
  16   0.1036   0.1206
  17   0.1195   0.1423
  18   0.0855   0.0923
  19   0.0795   0.0907
  20   0.0495   0.0478
  21   0.0391   0.0574
  22   0.0859   0.0532
  23   0.0100   0.0104
