user_id,day_type,bin,n_bin,fallback,pi0,D_family,G_family,E_family,A_family,n_pool_A
PS_5679,Weekend,1,0,2,0.0,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,2,0,2,0.0,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,3,0,2,0.0,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,4,0,2,0.0,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,5,1,2,0.0357,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,6,0,2,0.0,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,7,0,2,0.0,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,8,0,2,0.0,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,9,0,2,0.0,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,10,1,2,0.0357,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,11,1,2,0.0357,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,12,4,2,0.1428,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,13,2,2,0.0714,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,14,2,2,0.0714,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,15,2,2,0.0714,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,16,5,2,0.1786,LogNormal,Exponential,LogNormal,TruncGMM(K=1),5
PS_5679,Weekend,17,3,2,0.1071,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,18,0,2,0.0,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,19,1,2,0.0357,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,20,2,2,0.0714,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,21,4,2,0.1428,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,22,0,2,0.0,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
PS_5679,Weekend,23,0,2,0.0,LogNormal,Exponential,LogNormal,TruncGMM(K=1),20
