user_id,day_type,bin,calendar_date,arrival_hour,duration_h,gap_h,tau_eff_h,energy_kwh
PS_27,Weekday,16,2019-05-01,19.4228,1.9721,16.467,18.4391,4.7588
PS_27,Weekday,12,2019-05-02,20.2816,1.6302,24.4136,26.0437,7.8225
PS_27,Weekday,24,2019-05-06,12.3679,1.12,47.5139,48.634,6.7755
PS_27,Weekday,20,2019-05-07,19.2433,2.2872,19.0131,21.3003,7.8273
PS_27,Weekday,17,2019-05-09,16.3549,2.097,44.6623,46.7593,4.941
PS_27,Weekday,10,2019-05-13,15.8292,3.5502,45.7538,49.304,6.6147
PS_27,Weekday,18,2019-05-14,13.575,5.6781,22.2924,27.9706,3.1284
PS_27,Weekday,23,2019-05-16,18.0847,2.8722,23.1308,26.003,7.506
PS_27,Weekday,17,2019-05-17,16.6638,2.1587,22.4333,24.592,5.7231
PS_27,Weekday,18,2019-05-17,16.0047,1.8286,13.6405,15.4691,5.7221
PS_27,Weekday,11,2019-05-20,11.8862,5.9371,20.4482,26.3853,6.397
PS_27,Weekday,20,2019-05-22,19.7642,2.6939,38.2866,40.9805,6.3309
PS_27,Weekday,17,2019-05-24,16.389,2.4111,43.6659,46.077,2.7028
PS_27,Weekday,19,2019-05-27,13.6995,2.2912,15.2299,17.5211,7.8891
PS_27,Weekday,17,2019-05-30,16.7753,2.4191,73.125,75.5441,7.7136
PS_27,Weekday,16,2019-05-31,20.7497,2.0114,20.3625,22.374,8.8088
PS_27,Weekday,17,2019-06-03,16.3582,1.1265,19.5909,20.7174,4.4213
PS_27,Weekday,17,2019-06-04,16.9182,2.2371,41.6701,43.9072,6.2939
PS_27,Weekday,18,2019-06-06,22.6814,1.7879,30.9898,32.7777,6.3058
PS_27,Weekday,17,2019-06-07,16.9683,2.2406,19.3424,21.5829,5.5494
PS_27,Weekday,19,2019-06-07,15.867,3.0394,13.3646,16.4039,7.5654
PS_27,Weekday,20,2019-06-10,19.9897,4.4992,15.973,20.4721,7.7727
PS_27,Weekday,17,2019-06-12,16.1483,1.2178,52.5001,53.7179,8.3519
PS_27,Weekday,18,2019-06-14,20.1898,2.1364,23.8134,25.9498,11.0087
PS_27,Weekday,17,2019-06-17,16.272,2.3452,44.6579,47.0032,4.2994
PS_27,Weekday,11,2019-06-19,18.3861,3.5731,42.9823,46.5554,7.2765
PS_27,Weekday,20,2019-06-20,19.6679,1.7705,17.2334,19.0039,9.4561
PS_27,Weekday,14,2019-06-21,14.9505,6.779,13.6564,20.4354,3.1804
PS_27,Weekday,14,2019-06-24,12.7249,2.3413,18.1572,20.4985,6.664
PS_27,Weekday,13,2019-06-25,15.9311,2.278,29.0708,31.3488,6.9371
PS_27,Weekday,14,2019-06-26,15.6828,1.2136,23.8228,25.0364,7.3782
PS_27,Weekday,17,2019-06-27,16.2879,1.4578,16.6249,18.0826,6.0812
PS_27,Weekday,19,2019-06-28,17.2998,2.0997,12.8517,14.9514,8.0442
PS_27,Weekday,17,2019-06-28,16.8523,1.6313,13.4364,15.0677,7.7176
