user_id,day_type,bin,n_bin,fallback,pi0,D_family,G_family,E_family,A_family,n_pool_A
TRO_R_AsO10-1,Weekend,1,3,2,0.0857,TruncGMM(K=1),LogNormal,LogNormal,TruncGMM(K=2),20
TRO_R_AsO10-1,Weekend,2,0,2,0.0,TruncGMM(K=1),LogNormal,LogNormal,TruncGMM(K=2),20
TRO_R_AsO10-1,Weekend,3,0,2,0.0,TruncGMM(K=1),LogNormal,LogNormal,TruncGMM(K=2),20
TRO_R_AsO10-1,Weekend,4,0,2,0.0,TruncGMM(K=1),LogNormal,LogNormal,TruncGMM(K=2),20
TRO_R_AsO10-1,Weekend,5,0,2,0.0,TruncGMM(K=1),LogNormal,LogNormal,TruncGMM(K=2),20
TRO_R_AsO10-1,Weekend,6,2,2,0.0571,TruncGMM(K=1),LogNormal,LogNormal,TruncGMM(K=2),20
TRO_R_AsO10-1,Weekend,7,2,2,0.0571,TruncGMM(K=1),LogNormal,LogNormal,TruncGMM(K=2),20
TRO_R_AsO10-1,Weekend,8,6,2,0.1714,TruncGMM(K=1),LogNormal,LogNormal,TruncGMM(K=2),6
TRO_R_AsO10-1,Weekend,9,9,2,0.2571,TruncGMM(K=1),LogNormal,LogNormal,TruncGMM(K=2),9
TRO_R_AsO10-1,Weekend,10,5,2,0.1429,TruncGMM(K=1),LogNormal,LogNormal,TruncGMM(K=2),5
TRO_R_AsO10-1,Weekend,11,6,2,0.1714,TruncGMM(K=1),LogNormal,LogNormal,TruncGMM(K=2),6
TRO_R_AsO10-1,Weekend,12,2,2,0.0571,TruncGMM(K=1),LogNormal,LogNormal,TruncGMM(K=2),20
OSL_T_74,Weekend,1,1,2,0.0192,Exponential,Weibull,TruncGMM(K=1),TruncGMM(K=1),20
OSL_T_74,Weekend,2,0,2,0.0,Exponential,Weibull,TruncGMM(K=1),TruncGMM(K=1),20
OSL_T_74,Weekend,3,2,2,0.0385,Exponential,Weibull,TruncGMM(K=1),TruncGMM(K=1),20
OSL_T_74,Weekend,4,0,2,0.0,Exponential,Weibull,TruncGMM(K=1),TruncGMM(K=1),20
OSL_T_74,Weekend,5,1,2,0.0192,Exponential,Weibull,TruncGMM(K=1),TruncGMM(K=1),20
OSL_T_74,Weekend,6,2,2,0.0385,Exponential,Weibull,TruncGMM(K=1),TruncGMM(K=1),20
OSL_T_74,Weekend,7,4,2,0.0769,Exponential,Weibull,TruncGMM(K=1),TruncGMM(K=1),20
OSL_T_74,Weekend,8,12,2,0.2308,Exponential,Weibull,TruncGMM(K=1),TruncGMM(K=1),12
OSL_T_74,Weekend,9,6,2,0.1154,Exponential,Weibull,TruncGMM(K=1),TruncGMM(K=1),6
OSL_T_74,Weekend,10,11,2,0.2115,Exponential,Weibull,TruncGMM(K=1),TruncGMM(K=1),11
OSL_T_74,Weekend,11,9,2,0.1731,Exponential,Weibull,TruncGMM(K=1),TruncGMM(K=1),9
OSL_T_74,Weekend,12,4,2,0.0769,Exponential,Weibull,TruncGMM(K=1),TruncGMM(K=1),20
BAR_2_Plass9,Weekend,1,2,2,0.0513,TruncGMM(K=1),Exponential,TruncGMM(K=1),TruncGMM(K=1),20
BAR_2_Plass9,Weekend,2,0,2,0.0,TruncGMM(K=1),Exponential,TruncGMM(K=1),TruncGMM(K=1),20
BAR_2_Plass9,Weekend,3,0,2,0.0,TruncGMM(K=1),Exponential,TruncGMM(K=1),TruncGMM(K=1),20
