arrival_hour,duration_h,energy_kwh
3.8500000000000014,4.716667,30.181023667380213
15.866666666666667,0.8,2.691468599441213
7.3,17.48333,13.08555615401479
21.633333333333333,13.08333,11.946096086684891
18.816666666666663,23.5,19.352910809982568
14.7,16.18333,15.11159590166683
20.6,19.01667,6.23
19.9,0.6333333333333333,2.16
15.5,4.116667,2.91
16.316666666666666,2.966667,8.44
18.3,3.672971116849516,7.31
18.78333333333333,1.8166666970548193,11.515806767207012
14.1,14.46667,4.2
18.266666666666666,14.55,18.64
10.866666666666667,11.03333,8.567460336751832
17.366666666666667,2.283333,16.05
3.9912873008249647,21.71667,27.943486930858345
18.83333333333333,0.23333332911171456,0.57
11.116666666666667,2.25,8.46
9.75469749008383,3.533333333333333,4.57
15.683333333333334,7.95,10.14
22.8,1.283333,8.75
22.58333333333333,14.731600987723027,9.79
21.216666666666665,10.31667,7.443347828060389
15.75,12.4,7.473211675690611
20.466666666666665,12.1,7.41
21.83333333333333,7.2666667499338775,1.57
19.65,2.616667,8.61
14.3,0.4666667,1.75
23.666666666666668,14.3,11.79
18.95,14.18333,10.898884180082847
6.816666666666666,4.566667,6.4
22.616666666666667,12.65,7.48
16.483333333333334,2.4,15.111587450832873
21.6,8.766667,5.83
16.283333333333335,11.33333,7.99
16.75,10.36667,48.13065523140132
7.467887070181314,1.383333,5.0
20.066666666666663,14.2,6.38
15.383333333333333,2.25,5.915593669265509
14.666666666666666,17.88333,6.74
15.55,10.63333,17.9
18.98333333333333,1.783333,6.402985915399901
20.25,15.05,10.78
13.866666666666667,24.670098309385722,12.64
22.7,27.06667,15.61
18.8,3.216667,3.0371278683282434
19.216666666666665,0.2833333,0.7345148734528572
14.833333333333334,8.683333,3.0635756017252174
15.216666666666669,20.73333,4.619971587895726
21.33333333333333,10.66667,4.84
21.40212074018782,16.63333,5.59
18.73333333333333,23.08333,4.92
21.98333333333333,4.1,1.57
23.216666666666665,14.98333,22.78
22.03333333333333,5.283333,3.92
17.583333333333332,12.1,9.45
22.48333333333333,8.283333,4.0
10.883333333333333,21.41667,6.411228630542755
20.630702917809444,7.2,4.76
16.5,3.666667,10.62
14.883333333333333,5.066667,13.8
15.433209185585534,1.05,2.16
14.7,23.827513549754162,12.019749476923451
8.483333333333333,0.5333333,1.14
16.95,10.26667,4.209332543094425
12.15,4.283333,17.44
11.137983933917713,3.383333,2.72
18.78333333333333,14.11667,7.07
22.690603935241235,20.16667,21.61
18.366666666666667,14.5,4.35
7.85,0.4666666666666667,1.283331604381278
22.55,23.35,9.06
21.883333333333333,23.29783191515147,16.719862876562495
10.301845207193402,22.79908937793055,8.08
23.566666666666663,9.5,26.28
15.866666666666667,14.25,5.205657929890602
15.8,3.6626350749681764,5.81
18.066666666666663,12.5,4.759558901868947
18.066666666666663,14.8,6.73
16.616666666666667,0.7166666666666667,6.56
20.05,7.016667,27.91
15.1,0.65,2.16
13.266666666666667,5.166667,2.91
8.516666666666667,2.166667,8.84
15.733333333333333,0.8816795041465918,8.08
20.933333333333334,14.655613204451484,20.47
11.516666666666667,2.283333,2.279288748261053
23.7,9.4,5.93
21.35,10.03333,11.261484606141348
21.266666666666666,1.583333,20.180386945549397
20.133333333333333,0.4166667,3.26
20.916666666666668,14.71667,18.35
13.316666666666666,12.5,13.688114831158455
18.7,18.9,12.73
16.95,17.38333,10.77
16.05,13.93333,13.74
20.5,12.6,6.57
21.23333333333333,3.016666789394094,2.093578245883869
18.866666666666667,15.21667,7.24
17.025258359177194,10.1,2.83
6.35,0.45,1.38
21.9,26.149425256167373,13.046339772960295
22.116666666666667,16.43333,5.46
13.233333333333333,3.883333,6.48
21.3,8.666667,3.89
21.83333333333333,3.066667,5.7940991501323875
7.123495037166867,0.2666666666666666,0.73
