metric,gen,value
daily_peak_median_kW,Real,17.961506508082156
daily_peak_P95_kW,Real,44.38834554048614
daily_peak_max_kW,Real,68.13958330220837
daily_peak_median_kW,SPARC,26.336443577659487
daily_peak_P95_kW,SPARC,56.375313987503354
daily_peak_max_kW,SPARC,110.76827229481037
CF_ts_K2,Real,0.6898479484516165
CF_ts_K5,Real,0.40947282741311253
CF_ts_K10,Real,0.270022422012886
CF_ts_K20,Real,0.17871825592227328
CF_ts_K50,Real,0.10805656728966266
CF_ts_K170,Real,0.06288668785654068
CF_ts_K2,SPARC,0.6176108977237434
CF_ts_K5,SPARC,0.2993811475519222
CF_ts_K10,SPARC,0.18258778315006868
CF_ts_K20,SPARC,0.10840283241419141
CF_ts_K50,SPARC,0.05989458361223825
CF_ts_K170,SPARC,0.03715656775175507
CF_prof_K2,Real,0.9048405394916555
CF_prof_K2,SPARC,0.8915261407786513
CF_prof_K5,Real,0.7893885310421893
CF_prof_K5,SPARC,0.743856207814288
CF_prof_K10,Real,0.708133971013129
CF_prof_K10,SPARC,0.6853171486632115
CF_prof_K20,Real,0.6396342611250181
CF_prof_K20,SPARC,0.6240703344967371
CF_prof_K50,Real,0.6039272565148242
CF_prof_K50,SPARC,0.5956052469060426
CF_prof_K2,Copula,0.956967026425069
CF_prof_K5,Copula,0.9230611181486469
CF_prof_K10,Copula,0.9037997732740374
CF_prof_K20,Copula,0.8915185295086794
CF_prof_K50,Copula,0.8802872413317627
CF_prof_K2,GMMNet,0.9566620442175766
CF_prof_K5,GMMNet,0.922825952539662
CF_prof_K10,GMMNet,0.909161979457721
CF_prof_K20,GMMNet,0.90131119526324
CF_prof_K50,GMMNet,0.8930504732309782
CF_prof_K2,EV-SDG,0.9592418089113212
CF_prof_K5,EV-SDG,0.9375291182604619
CF_prof_K10,EV-SDG,0.9368770732043205
CF_prof_K20,EV-SDG,
CF_prof_K50,EV-SDG,
pocket_P999_kW,Real,10.435735449174844
pocket_hrs_gt60pct,Real,0.0
pocket_hrs_gt80pct,Real,0.0
pocket_hrs_gt100pct,Real,0.0
pocket_P999_kW,SPARC,17.234616564175784
pocket_hrs_gt60pct,SPARC,0.003875509587841049
pocket_hrs_gt80pct,SPARC,0.00015833758635719518
pocket_hrs_gt100pct,SPARC,0.0
