Dataset,Method,SDarr,SDarr_sd,SDdur,SDdur_sd,LoadKL,LoadKL_sd
Norway,Real,2.0271646291446426,0.0,5.657285139059622,0.0,,
Norway,SPARC,2.163396554271938,0.029517262203426063,5.462221778704442,0.13430815753886377,0.024622303773287665,0.0007994472705529342
Norway,Copula,0.32403956149264934,0.019828699618854074,0.8936369119509241,0.07898576513371539,0.04867978863954374,0.0012170612212129008
Norway,GMMNet,0.3573695572887383,0.031007256467311544,0.9659135379090833,0.07505486466067206,0.030486833566553684,0.0010145029854193059
Norway,EV-SDG,0.8526600553681889,0.15761776611715134,0.07641556227236122,0.016129287773357585,0.08754292031297176,0.007133990151830284
GIST-Res,Real,3.607918454578052,0.0,1.9028366302204076,0.0,,
GIST-Res,SPARC,3.425650543820299,0.02742162681929379,1.8501343802710317,0.04743316410496633,0.006804421217375484,0.001166131580796593
GIST-Res,Copula,0.4419337917229823,0.07086477276635875,0.24787625435363514,0.02600438529314344,0.05425852376223578,0.007542900860329772
GIST-Res,GMMNet,0.4798175658293502,0.05893933938401113,0.25464425483979186,0.029635155529705182,0.07952442754335573,0.009983637447374865
GIST-Res,EV-SDG,3.331932457459678,0.4676030222761551,0.2831886277639881,0.03554240361973573,0.15475252833256511,0.011546142645592195
GIST-Comm,Real,3.993886961884932,0.0,2.16179915789218,0.0,,
GIST-Comm,SPARC,4.1516471988822525,0.036295167353269105,2.146291973010518,0.02909025463800386,0.008595290504439615,0.0008918855371300364
GIST-Comm,Copula,0.6594092929934613,0.11597376213966316,0.32896544381797327,0.044427029983960094,0.08295672630276654,0.011471974404481338
GIST-Comm,GMMNet,1.1349690222844793,0.2052323098697901,0.3113562679748518,0.04096993190919995,0.034024173305120656,0.006453848936899269
GIST-Comm,EV-SDG,0.6254962663894673,0.1212545632459635,0.26301548012922576,0.04729248748129617,0.3644376519001653,0.00777245776549275
ACN,Real,1.7331020145022558,0.0,1.6188725715531944,0.0,,
ACN,SPARC,2.283850854035321,0.054993054025691615,1.7050029093223498,0.11963392660779726,0.017420747396266627,0.0017944716018096906
ACN,Copula,0.6520293590075906,0.17088165196588317,0.3651551895200574,0.06483238270513755,0.041968755353788786,0.0042757494685145446
ACN,GMMNet,0.4671635210477801,0.07393889516394438,0.3783612316318366,0.08340462386559,0.053136046819490426,0.003552112358218342
ACN,EV-SDG,1.3853980073341674,0.2708055380157045,0.327504976534114,0.06798752970184732,0.17818078454265313,0.004171343233516781
Combined,Real,2.8272327345644963,0.0,6.679396613106025,0.0,,
Combined,SPARC,2.855478117361333,0.03742905486128214,6.529933652724362,0.06973847083105518,0.0186449939316639,0.0010058171802539665
Combined,Copula,0.4301089591889639,0.03001072989373603,1.068142133357818,0.057614733971189075,0.032213962893541,0.0013208665668538568
Combined,GMMNet,0.47844500054703604,0.04051063621564643,1.0241167665329338,0.06785773550179097,0.03765241717678837,0.00178071860060523
Combined,EV-SDG,1.4218490511292088,0.43872911734094305,0.0640872374716411,0.01634679320698704,0.04626461707431443,0.005293931250675034
