location,user_id,session_id,duration_hours,energy,start_date,start_time,end_date,end_time,start_hour,end_hour,month,day,duration_minutes,day_type,user_id_num
ASK,ASK_Plass15,ASK_18266,13.2,19.96,2019-11-28,19:08:00,2019-11-29,08:20:00,19,8,November,Thursday,792.0,Weekday,0
ASK,ASK_Plass15,ASK_14220,11.41667,21.34,2019-09-02,20:23:00,2019-09-03,07:48:00,20,7,September,Monday,685.0002,Weekday,0
ASK,ASK_Plass15,ASK_20447,14.23333,19.85,2020-01-08,17:35:00,2020-01-09,07:49:00,17,7,January,Wednesday,853.9998,Weekday,0
ASK,ASK_Plass15,ASK_13858,15.2,24.5,2019-08-23,18:10:00,2019-08-24,09:22:00,18,9,August,Friday,912.0,Weekday,0
ASK,ASK_Plass15,ASK_16687,11.93333,18.5,2019-10-30,20:14:00,2019-10-31,08:10:00,20,8,October,Wednesday,715.9997999999999,Weekday,0
ASK,ASK_Plass15,ASK_14159,12.55,16.84,2019-08-31,20:28:00,2019-09-01,09:01:00,20,9,August,Saturday,753.0,Weekend,0
ASK,ASK_Plass15,ASK_21064,1.483333,5.18,2020-01-20,14:32:00,2020-01-20,16:01:00,14,16,January,Monday,88.99998,Weekday,0
ASK,ASK_Plass15,ASK_16830,14.68333,20.67,2019-11-02,19:33:00,2019-11-03,10:14:00,19,10,November,Saturday,880.9997999999999,Weekend,0
ASK,ASK_Plass15,ASK_19433,15.9,16.32,2019-12-18,16:24:00,2019-12-19,08:18:00,16,8,December,Wednesday,954.0,Weekday,0
ASK,ASK_Plass15,ASK_17481,15.8,16.56,2019-11-14,16:26:00,2019-11-15,08:14:00,16,8,November,Thursday,948.0,Weekday,0
ASK,ASK_Plass15,ASK_17929,18.96667,8.44,2019-11-22,18:59:00,2019-11-23,13:57:00,18,13,November,Friday,1138.0002,Weekday,0
ASK,ASK_Plass15,ASK_16805,2.316667,7.9,2019-11-02,12:25:00,2019-11-02,14:44:00,12,14,November,Saturday,139.00001999999998,Weekend,0
ASK,ASK_Plass15,ASK_16923,2.633333,7.5,2019-11-04,17:55:00,2019-11-04,20:33:00,17,20,November,Monday,157.99998,Weekday,0
ASK,ASK_Plass15,ASK_17038,1.966667,6.63,2019-11-06,17:30:00,2019-11-06,19:28:00,17,19,November,Wednesday,118.00001999999999,Weekday,0
ASK,ASK_Plass15,ASK_18885,14.15,20.45,2019-12-09,18:10:00,2019-12-10,08:19:00,18,8,December,Monday,849.0,Weekday,0
ASK,ASK_Plass15,ASK_15469,21.13333,15.72,2019-10-05,20:54:00,2019-10-06,18:02:00,20,18,October,Saturday,1267.9998,Weekend,0
ASK,ASK_Plass15,ASK_17061,10.41667,18.05,2019-11-06,21:39:00,2019-11-07,08:04:00,21,8,November,Wednesday,625.0002,Weekday,0
ASK,ASK_Plass15,ASK_20662,13.21667,16.77,2020-01-12,19:15:00,2020-01-13,08:28:00,19,8,January,Sunday,793.0002000000001,Weekend,0
ASK,ASK_Plass15,ASK_21732,13.76667,23.53,2020-02-01,21:37:00,2020-02-02,11:23:00,21,11,February,Saturday,826.0002,Weekend,0
ASK,ASK_Plass15,ASK_19157,18.76667,22.72,2019-12-13,20:29:00,2019-12-14,15:15:00,20,15,December,Friday,1126.0002000000002,Weekday,0
ASK,ASK_Plass15,ASK_16602,10.6,18.89,2019-10-28,21:37:00,2019-10-29,08:13:00,21,8,October,Monday,636.0,Weekday,0
ASK,ASK_Plass15,ASK_17556,16.98333,24.32,2019-11-15,21:27:00,2019-11-16,14:26:00,21,14,November,Friday,1018.9997999999999,Weekday,0
ASK,ASK_Plass15,ASK_18414,9.016667,25.37,2019-12-01,00:56:00,2019-12-01,09:57:00,0,9,December,Sunday,541.00002,Weekend,0
ASK,ASK_Plass15,ASK_16149,10.65,10.28,2019-10-19,22:24:00,2019-10-20,09:03:00,22,9,October,Saturday,639.0,Weekend,0
ASK,ASK_Plass15,ASK_18733,18.28333,23.78,2019-12-06,20:54:00,2019-12-07,15:11:00,20,15,December,Friday,1096.9998,Weekday,0
ASK,ASK_Plass15,ASK_17657,14.46667,21.39,2019-11-17,17:52:00,2019-11-18,08:20:00,17,8,November,Sunday,868.0002000000001,Weekend,0
ASK,ASK_Plass15,ASK_17276,13.98333,20.15,2019-11-10,17:42:00,2019-11-11,07:41:00,17,7,November,Sunday,838.9998,Weekend,0
ASK,ASK_Plass15,ASK_14931,4.9,17.24,2019-09-21,18:41:00,2019-09-21,23:35:00,18,23,September,Saturday,294.0,Weekend,0
ASK,ASK_Plass15,ASK_20924,44.26667,15.91,2020-01-17,16:35:00,2020-01-19,12:51:00,16,12,January,Friday,2656.0002,Weekday,0
ASK,ASK_Plass15,ASK_16425,18.11667,18.64,2019-10-25,17:15:00,2019-10-26,11:22:00,17,11,October,Friday,1087.0002,Weekday,0
ASK,ASK_Plass15,ASK_21172,111.0667,24.53,2020-01-22,16:54:00,2020-01-27,07:58:00,16,7,January,Wednesday,6664.0019999999995,Weekday,0
ASK,ASK_Plass15,ASK_16550,9.616667,16.68,2019-10-27,22:30:00,2019-10-28,08:07:00,22,8,October,Sunday,577.00002,Weekend,0
