L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.028059 nats  (excellent)
  Plug-in duration   : 0.011145 nats  (excellent)
  Idle gap           : 0.009629 nats  (excellent)
  Energy             : 0.044579 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0646   0.0735
  01   0.0909   0.1018
  02   0.0721   0.0798
  03   0.0553   0.0569
  04   0.0338   0.0319
  05   0.0245   0.0168
  06   0.0132   0.0091
  07   0.0093   0.0069
  08   0.0080   0.0008
  09   0.0013   0.0025
  10   0.0015   0.0028
  11   0.0049   0.0030
  12   0.0067   0.0088
  13   0.0349   0.0355
  14   0.0757   0.0748
  15   0.1400   0.1750
  16   0.0883   0.0927
  17   0.0387   0.0404
  18   0.0390   0.0347
  19   0.0439   0.0374
  20   0.0333   0.0223
  21   0.0318   0.0270
  22   0.0331   0.0275
  23   0.0550   0.0382
