user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
ACN_2-39-123-23,Weekday,1,26,1,0.1986,0.2582,true,-0.1558,-0.0885,false,
ACN_2-39-123-23,Weekday,2,26,1,0.2054,0.2242,true,-0.7793,-0.5159,true,
ACN_2-39-123-23,Weekday,8,37,1,0.0831,0.961,true,0.2697,0.367,true,
ACN_2-39-123-23,Weekday,9,52,1,0.1842,0.0597,true,0.3126,0.3776,true,
ACN_2-39-138-29,Weekday,1,47,1,0.2128,0.0289,false,-0.0642,-0.0926,false,
ACN_2-39-138-29,Weekday,2,35,1,0.332,0.0009,false,-0.3471,-0.4025,true,
ACN_2-39-138-29,Weekday,8,66,1,0.1263,0.2463,true,0.0508,0.0607,false,
ACN_2-39-78-365,Weekday,2,27,1,0.2861,0.0244,false,-0.6699,-0.6011,true,
ACN_2-39-78-365,Weekday,3,16,1,0.3116,0.0899,true,-0.8982,-0.85,true,
ACN_2-39-78-365,Weekday,8,53,1,0.1814,0.0623,true,0.3385,0.5149,true,
ACN_2-39-78-365,Weekday,9,30,1,0.1476,0.5327,true,0.3286,0.4598,true,
ACN_2-39-78-365,Weekday,10,16,1,0.1994,0.5491,true,0.144,0.4882,true,
ACN_2-39-139-28,Weekend,10,17,1,0.0971,0.9972,true,-0.3386,-0.1373,true,
ACN_2-39-139-28,Weekend,12,18,1,0.1309,0.9178,true,0.1013,0.1868,false,
ACN_2-39-125-21,Weekday,1,34,1,0.2121,0.0948,true,-0.0669,0.2559,false,
ACN_2-39-125-21,Weekday,2,34,1,0.2442,0.0351,false,-0.5093,-0.2987,true,
ACN_2-39-125-21,Weekday,8,41,1,0.1264,0.5321,true,0.2939,0.4886,true,
ACN_2-39-125-21,Weekday,9,35,1,0.1323,0.5748,true,-0.0029,0.2737,false,
ACN_2-39-125-21,Weekday,12,25,1,0.1779,0.409,true,0.3962,0.165,true,
ACN_2-39-89-25,Weekday,1,16,1,0.2116,0.4718,true,0.194,-0.0853,false,
ACN_2-39-89-25,Weekday,2,22,1,0.1969,0.3624,true,-0.603,-0.406,true,
