L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.017514 nats  (excellent)
  Plug-in duration   : 0.010466 nats  (excellent)
  Idle gap           : 0.012945 nats  (excellent)
  Energy             : 0.083200 nats  (acceptable)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0646   0.0728
  01   0.0909   0.1045
  02   0.0721   0.0791
  03   0.0553   0.0669
  04   0.0338   0.0320
  05   0.0245   0.0184
  06   0.0132   0.0097
  07   0.0093   0.0089
  08   0.0080   0.0032
  09   0.0013   0.0008
  10   0.0015   0.0011
  11   0.0049   0.0051
  12   0.0067   0.0065
  13   0.0349   0.0322
  14   0.0757   0.0747
  15   0.1400   0.1673
  16   0.0883   0.0950
  17   0.0387   0.0360
  18   0.0390   0.0333
  19   0.0439   0.0338
  20   0.0333   0.0233
  21   0.0318   0.0217
  22   0.0331   0.0314
  23   0.0550   0.0420
