L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.006430 nats  (excellent)
  Plug-in duration   : 0.011573 nats  (excellent)
  Idle gap           : 0.004781 nats  (excellent)
  Energy             : 0.001710 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0194   0.0146
  01   0.0105   0.0078
  02   0.0071   0.0061
  03   0.0095   0.0085
  04   0.0103   0.0126
  05   0.0061   0.0071
  06   0.0070   0.0078
  07   0.0116   0.0104
  08   0.0173   0.0129
  09   0.0181   0.0140
  10   0.0197   0.0166
  11   0.0258   0.0204
  12   0.0295   0.0237
  13   0.0370   0.0317
  14   0.0588   0.0586
  15   0.0876   0.0883
  16   0.1201   0.1368
  17   0.1084   0.1157
  18   0.0892   0.0927
  19   0.0792   0.0794
  20   0.0772   0.0795
  21   0.0603   0.0614
  22   0.0541   0.0544
  23   0.0361   0.0388
