user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
gist|KR_U1225,Weekday,18,83,1,0.162,0.0266,false,-0.0201,-0.313,true,
gist|KR_U1225,Weekday,19,18,1,0.1596,0.7499,true,0.0698,-0.1685,false,
gist|KR_U1764,Weekday,19,26,1,0.2121,0.1938,true,0.3205,0.1197,true,
norway|OSL_S_KT137,Weekday,9,16,1,0.2359,0.3363,true,0.3601,0.4088,true,
norway|OSL_S_KT137,Weekday,15,15,1,0.172,0.7676,true,0.3106,0.325,true,
norway|OSL_S_KT137,Weekday,16,17,1,0.185,0.6066,true,0.5439,0.3102,true,
norway|OSL_S_KT137,Weekday,17,46,1,0.1665,0.1581,true,0.2205,0.2814,false,
norway|OSL_S_KT137,Weekday,18,33,1,0.1166,0.7629,true,0.2124,0.2358,false,
norway|OSL_S_KT137,Weekday,19,19,1,0.1361,0.8737,true,0.2408,0.1316,false,
norway|OSL_S_KT137,Weekday,21,15,1,0.1548,0.8653,true,-0.1957,-0.2536,false,
norway|OSL_S_KT162,Weekday,1,26,1,0.1501,0.6031,true,-0.3518,-0.5598,true,
norway|OSL_S_KT162,Weekday,17,20,1,0.1749,0.5747,true,0.2663,0.2414,false,
norway|OSL_S_KT162,Weekday,22,17,1,0.1557,0.8049,true,-0.1763,0.0221,false,
norway|OSL_S_KT162,Weekday,23,24,1,0.1738,0.4647,true,0.1351,0.0052,false,
norway|OSL_S_KT162,Weekday,24,27,1,0.1783,0.3586,true,-0.2702,-0.2055,false,
norway|BAR_Plass160,Weekday,16,207,1,0.3232,0.0,false,0.0193,0.2293,false,
norway|BAR_Plass160,Weekday,17,27,1,0.185,0.3151,true,0.1252,-0.1869,false,
norway|BAR_Plass160,Weekday,18,42,1,0.1583,0.2452,true,-0.1704,0.3907,true,
norway|BAR_Plass113,Weekend,18,15,1,0.1237,0.9759,true,-0.1377,0.1571,false,
norway|OSL_S_KT76,Weekday,16,18,1,0.2234,0.3311,true,-0.1373,0.0258,false,
norway|OSL_S_KT76,Weekday,17,26,1,0.157,0.5448,true,-0.1885,-0.0222,false,
norway|OSL_S_KT76,Weekday,18,25,1,0.1894,0.3326,true,0.0218,-0.0173,false,
norway|OSL_S_KT76,Weekday,19,21,1,0.158,0.6719,true,-0.1835,-0.0961,false,
norway|OSL_S_KT112,Weekday,1,17,1,0.2228,0.3684,true,0.3608,0.4632,true,
norway|OSL_S_KT112,Weekday,24,35,1,0.1498,0.4143,true,-0.3511,-0.2409,true,
norway|OSL_S_KT138,Weekend,5,27,1,0.2547,0.0607,true,-0.3115,-0.6149,true,
gist|KR_U1629,Weekday,9,18,1,0.1875,0.5526,true,-0.0031,0.2301,false,
gist|KR_U1629,Weekday,13,16,1,0.1202,0.9751,true,0.6103,0.6156,true,
kim|KR_70,Weekday,9,29,1,0.3107,0.0075,false,-0.0946,-0.4621,true,
kim|KR_70,Weekday,10,133,1,0.2351,0.0,false,-0.1087,-0.331,true,
norway|ASK_Plass25,Weekend,20,17,1,0.1341,0.9203,true,-0.0249,-0.201,false,
norway|OSL_S_KT169,Weekday,15,209,1,0.0839,0.1117,true,-0.0949,0.015,false,
norway|OSL_S_KT169,Weekday,16,30,1,0.1979,0.1921,true,-0.128,0.1501,false,
kim|KR_1231,Weekday,18,18,1,0.2141,0.3822,true,0.446,0.4551,true,
kim|KR_1231,Weekday,19,17,1,0.1624,0.7618,true,0.1652,-0.1912,false,
norway|OSL_T_71,Weekday,19,16,1,0.115,0.9841,true,0.3105,-0.0118,true,
norway|ASK_Plass55,Weekday,17,40,1,0.1138,0.6806,true,-0.0122,0.1672,false,
norway|ASK_Plass55,Weekday,18,19,1,0.1747,0.6089,true,0.6067,0.5485,true,
norway|ASK_Plass55,Weekday,19,16,1,0.2284,0.3752,true,0.0459,0.4371,true,
norway|ASK_Plass55,Weekday,20,16,1,0.169,0.7516,true,0.0731,0.2441,false,
norway|ASK_Plass55,Weekday,21,17,1,0.2002,0.5047,true,0.3481,0.208,true,
gist|KR_U1228,Weekend,18,23,1,0.1368,0.7837,true,-0.3756,-0.4739,true,
norway|TRO_Plass11,Weekday,21,24,1,0.149,0.6627,true,0.1594,0.1948,false,
norway|BOD_02H0505,Weekday,17,44,1,0.2198,0.029,false,-0.0565,0.2118,false,0.1721
norway|BOD_02H0505,Weekday,18,17,1,0.3031,0.0885,true,0.684,0.5515,true,
norway|BOD_02H0505,Weekday,21,23,1,0.1175,0.9092,true,0.3293,0.3687,true,
norway|BOD_02H0505,Weekday,22,19,1,0.2588,0.1576,true,0.4023,0.2614,true,
norway|BOD_02H0505,Weekday,23,16,1,0.2405,0.3139,true,-0.1529,-0.3235,true,
norway|TRO_R_AsO6-1,Weekday,16,20,1,0.2495,0.1665,true,-0.1866,-0.1459,false,
norway|OSL_T_49,Weekday,19,25,1,0.1697,0.4692,true,0.1178,0.1908,false,
norway|OSL_T_49,Weekday,20,25,1,0.1656,0.501,true,0.2053,0.035,false,
norway|OSL_T_49,Weekday,21,21,1,0.1813,0.4962,true,0.484,-0.1506,true,
norway|TRO_R_AdO1-2,Weekday,14,15,1,0.1552,0.8633,true,-0.0359,0.0893,false,
norway|TRO_R_AdO1-2,Weekday,17,18,1,0.2454,0.2295,true,0.2123,0.3705,true,
norway|TRO_R_AdO1-2,Weekday,21,17,1,0.1395,0.8959,true,0.0735,-0.0784,false,
norway|TRO_R_UT15-2,Weekday,17,41,1,0.2984,0.0014,false,0.3514,0.5537,true,
norway|TRO_R_UT15-2,Weekday,18,16,1,0.1903,0.6094,true,-0.3114,-0.3029,true,
norway|BAR_Plass121,Weekday,15,31,1,0.1663,0.3599,true,0.1652,0.3978,true,
norway|BAR_Plass121,Weekday,16,30,1,0.1533,0.4834,true,0.1584,0.3836,true,
norway|BAR_Plass121,Weekday,17,43,1,0.1245,0.5206,true,0.0532,0.2804,false,
norway|BAR_Plass121,Weekday,18,26,1,0.1217,0.8368,true,0.2071,0.0605,false,
norway|BAR_Plass121,Weekday,19,18,1,0.2373,0.2637,true,-0.1218,0.033,false,
norway|BAR_Plass121,Weekday,21,24,1,0.2263,0.172,true,0.2761,0.1853,false,
norway|OSL_T_41,Weekday,18,16,1,0.1865,0.6349,true,0.3224,0.3588,true,
kim|KR_178,Weekday,8,38,1,0.1318,0.5265,true,0.2531,-0.066,false,
norway|ASK_Plass57,Weekend,18,18,1,0.1935,0.5119,true,0.38,0.3325,true,
gist|KR_U280,Weekday,1,16,1,0.1744,0.7162,true,0.2428,0.1324,false,
acn|ACN_2-39-128-18,Weekday,17,25,1,0.1159,0.8911,true,0.056,0.1577,false,
acn|ACN_2-39-128-18,Weekday,20,15,1,0.2002,0.5859,true,-0.0047,0.3357,true,
gist|KR_U89,Weekday,6,35,1,0.1573,0.3537,true,-0.0295,-0.3603,true,
gist|KR_U89,Weekday,7,29,1,0.4329,0.0,false,-0.156,-0.2484,false,-0.1183
gist|KR_U124,Weekday,19,34,1,0.1975,0.1422,true,-0.2063,-0.4796,true,
gist|KR_U124,Weekday,20,15,1,0.2937,0.1508,true,-0.2079,-0.3286,true,
norway|ASK_Plass37,Weekday,16,16,1,0.2355,0.3384,true,0.4874,0.55,true,
