L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.004589 nats  (excellent)
  Plug-in duration   : 0.010964 nats  (excellent)
  Idle gap           : 0.004733 nats  (excellent)
  Energy             : 0.002967 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0249   0.0194
  01   0.0204   0.0183
  02   0.0151   0.0140
  03   0.0151   0.0146
  04   0.0132   0.0145
  05   0.0083   0.0071
  06   0.0077   0.0079
  07   0.0114   0.0096
  08   0.0162   0.0131
  09   0.0160   0.0129
  10   0.0175   0.0143
  11   0.0232   0.0203
  12   0.0267   0.0233
  13   0.0367   0.0311
  14   0.0609   0.0601
  15   0.0940   0.1032
  16   0.1162   0.1293
  17   0.0999   0.1076
  18   0.0830   0.0850
  19   0.0749   0.0747
  20   0.0718   0.0727
  21   0.0568   0.0574
  22   0.0516   0.0525
  23   0.0385   0.0371
