user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
GT_98345808,Weekday,5,113,1,0.2688,0.0,false,-0.0237,-0.2089,false,
GT_98345808,Weekday,8,18,1,0.2383,0.2594,true,0.1818,-0.4037,true,
GT_32751774,Weekday,6,96,1,0.1983,0.0011,false,0.182,-0.1,false,
GT_30296079,Weekday,5,42,1,0.2741,0.0037,false,-0.0891,-0.6452,true,
GT_30296079,Weekday,6,18,1,0.4291,0.0027,false,-0.3352,-0.7544,true,-0.3682
GT_65023200,Weekday,7,25,1,0.219,0.1827,true,0.1756,0.2077,false,
GT_65023200,Weekday,8,22,1,0.161,0.6195,true,0.3882,0.3506,true,
GT_65023200,Weekday,9,46,1,0.0979,0.7726,true,0.5728,0.4344,true,
GT_65023200,Weekday,10,29,1,0.0975,0.9461,true,0.1709,0.2704,false,
GT_81375624,Weekday,7,80,1,0.2996,0.0,false,0.3535,0.2281,true,
GT_81375624,Weekday,8,27,1,0.1239,0.8032,true,0.345,0.0214,true,
GT_48821751,Weekday,6,49,1,0.2354,0.009,false,-0.166,-0.5979,true,
GT_45267948,Weekday,7,48,1,0.1675,0.1369,true,-0.2176,-0.405,true,
GT_29309940,Weekday,6,25,1,0.2219,0.1715,true,0.2457,-0.1662,false,
GT_29309940,Weekday,7,23,1,0.2896,0.0426,false,-0.0111,-0.2767,false,-0.0644
GT_29309940,Weekday,9,44,1,0.206,0.0485,false,-0.1839,-0.3953,true,
GT_37412595,Weekday,7,30,1,0.1722,0.3379,true,0.1717,-0.1947,false,
GT_37412595,Weekday,8,18,1,0.1321,0.9123,true,-0.3167,-0.418,true,
GT_37412595,Weekday,9,26,1,0.2739,0.0408,false,-0.1993,-0.265,false,
GT_37412595,Weekday,10,34,1,0.1211,0.7028,true,0.1495,0.1557,false,
GT_48585042,Weekday,7,20,1,0.1538,0.7325,true,-0.0854,-0.0812,false,
GT_48585042,Weekday,9,32,1,0.0777,0.9906,true,-0.4126,-0.3526,true,
GT_49241808,Weekday,7,29,1,0.1351,0.6671,true,-0.0558,-0.0537,false,
GT_49241808,Weekday,9,37,1,0.1232,0.6303,true,-0.0745,-0.3348,true,
GT_82888443,Weekday,9,18,1,0.2517,0.2051,true,-0.1741,-0.1579,false,
GT_35897499,Weekday,7,20,1,0.1428,0.8104,true,-0.0094,-0.2602,false,
GT_35897499,Weekday,8,22,1,0.2545,0.1164,true,0.2095,0.2987,false,
GT_35897499,Weekday,9,83,1,0.0729,0.7748,true,0.0056,-0.1494,false,
GT_35897499,Weekday,10,16,1,0.1186,0.9782,true,0.6224,0.4618,true,
GT_47158353,Weekday,9,41,1,0.3521,0.0001,false,-0.5135,-0.1314,true,-0.3648
GT_47158353,Weekday,10,20,1,0.264,0.1238,true,0.0533,-0.1414,false,
GT_19555569,Weekday,7,27,1,0.1304,0.7499,true,0.206,-0.0464,false,
GT_81295434,Weekday,6,28,1,0.2661,0.0384,false,0.1385,0.1407,false,
GT_24478344,Weekday,7,48,1,0.2143,0.0249,false,0.1114,-0.4252,true,
GT_88561539,Weekday,9,57,1,0.1803,0.0502,true,0.0475,-0.1193,false,
GT_88561539,Weekday,10,18,1,0.154,0.7878,true,-0.0676,-0.2549,false,
GT_92283246,Weekday,9,15,1,0.1088,0.9944,true,-0.3504,-0.2321,true,
GT_30464676,Weekday,6,60,1,0.2266,0.0044,false,0.1166,-0.2934,false,
GT_30464676,Weekday,7,17,1,0.3247,0.0559,true,0.1027,-0.3995,true,
GT_46009656,Weekday,6,75,1,0.3347,0.0,false,-0.0184,-0.3213,true,
GT_74843010,Weekday,6,40,1,0.3249,0.0004,false,0.0854,-0.2278,false,0.1319
GT_97867440,Weekday,7,58,1,0.2943,0.0001,false,-0.1957,-0.3935,true,
GT_97867440,Weekday,9,27,1,0.2479,0.0731,true,-0.2012,-0.3468,true,
GT_97867440,Weekday,10,21,1,0.0983,0.9874,true,0.2662,-0.0779,false,
GT_50986683,Weekday,6,23,1,0.2658,0.0781,true,0.0118,-0.0534,false,
GT_50986683,Weekday,7,18,1,0.363,0.0176,false,-0.0955,-0.517,true,
GT_81880524,Weekday,9,27,1,0.2075,0.1964,true,0.0209,-0.044,false,
GT_86810130,Weekday,7,28,1,0.1763,0.3506,true,0.2336,-0.0597,false,
GT_86810130,Weekday,8,19,1,0.3788,0.0087,false,0.1099,-0.0719,false,0.1569
GT_90692118,Weekday,7,40,1,0.1172,0.6444,true,0.1655,0.1334,false,
GT_90692118,Weekday,9,20,1,0.4102,0.0024,false,-0.3525,-0.5865,true,-0.2442
GT_10909503,Weekday,6,42,1,0.2179,0.0377,false,0.2227,0.1281,false,
GT_50725917,Weekday,6,53,1,0.2894,0.0003,false,-0.2466,-0.478,true,
GT_50725917,Weekday,7,19,1,0.3588,0.0152,false,0.4172,-0.0526,true,
