L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.023938 nats  (excellent)
  Plug-in duration   : 0.018177 nats  (excellent)
  Idle gap           : 0.088744 nats  (acceptable)
  Energy             : 0.018931 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0000   0.0000
  01   0.0000   0.0000
  02   0.0000   0.0000
  03   0.0000   0.0000
  04   0.0000   0.0000
  05   0.0000   0.0000
  06   0.0000   0.0000
  07   0.0000   0.0000
  08   0.0192   0.0240
  09   0.0456   0.0426
  10   0.0809   0.0949
  11   0.1579   0.1382
  12   0.1579   0.1839
  13   0.0923   0.0859
  14   0.0471   0.0426
  15   0.0460   0.0489
  16   0.1017   0.1033
  17   0.1390   0.1469
  18   0.0664   0.0570
  19   0.0279   0.0258
  20   0.0134   0.0040
  21   0.0039   0.0019
  22   0.0008   0.0000
  23   0.0000   0.0000
