user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
GT_98345808,Weekday,6,44,2,0.2756,0.0026,false,-0.0747,-0.3728,true,
GT_98345808,Weekday,7,69,2,0.2678,0.0001,false,0.0051,-0.1103,false,
GT_98345808,Weekday,11,16,2,0.2648,0.2126,true,0.0974,-0.4971,true,
GT_32751774,Weekday,8,89,2,0.3256,0.0,false,0.1386,-0.1409,false,
GT_30296079,Weekday,7,52,2,0.26,0.0018,false,-0.0701,-0.6819,true,
GT_65023200,Weekday,9,21,2,0.239,0.1823,true,0.2293,0.2961,false,
GT_65023200,Weekday,10,17,2,0.1743,0.6808,true,0.4107,0.076,true,
GT_65023200,Weekday,11,18,2,0.17,0.6769,true,0.5934,0.3953,true,
GT_65023200,Weekday,12,37,2,0.1043,0.8177,true,0.529,0.3068,true,
GT_65023200,Weekday,13,23,2,0.1085,0.9498,true,0.2612,0.332,true,
GT_81375624,Weekday,9,64,2,0.1737,0.0431,false,0.4189,0.2891,true,
GT_81375624,Weekday,10,24,2,0.3616,0.0038,false,0.1375,-0.1643,false,0.218
GT_81375624,Weekday,11,19,2,0.2082,0.3833,true,0.3387,0.0596,true,
GT_48821751,Weekday,8,49,2,0.3685,0.0,false,-0.166,-0.5979,true,
GT_45267948,Weekday,9,47,2,0.1592,0.1864,true,-0.2174,-0.3945,true,
GT_29309940,Weekday,8,25,2,0.2256,0.1579,true,0.2457,-0.1662,false,
GT_29309940,Weekday,9,22,2,0.2761,0.0705,true,-0.0346,-0.301,true,
GT_29309940,Weekday,12,43,2,0.2024,0.0599,true,-0.1994,-0.4065,true,
GT_37412595,Weekday,9,21,2,0.1709,0.5729,true,-0.0005,-0.3442,true,
GT_37412595,Weekday,10,23,2,0.2902,0.0419,false,0.2599,-0.1225,false,
GT_37412595,Weekday,12,25,2,0.2868,0.0331,false,-0.2398,-0.3223,true,
GT_37412595,Weekday,13,29,2,0.1093,0.8802,true,0.1965,0.3074,true,
GT_48585042,Weekday,9,19,2,0.1422,0.8375,true,-0.0874,-0.0544,false,
GT_48585042,Weekday,12,25,2,0.1434,0.6843,true,-0.5034,-0.5862,true,
GT_49241808,Weekday,9,29,2,0.1367,0.6523,true,-0.0558,-0.0537,false,
GT_49241808,Weekday,12,31,2,0.2294,0.0773,true,0.0549,-0.202,false,
GT_82888443,Weekday,12,16,2,0.29,0.1361,true,-0.2064,-0.2,false,
GT_35897499,Weekday,9,16,2,0.1604,0.8057,true,-0.1375,-0.2765,false,
GT_35897499,Weekday,11,27,2,0.1722,0.4015,true,0.2407,0.1545,false,
GT_35897499,Weekday,12,68,2,0.0729,0.8653,true,0.0226,-0.1756,false,
GT_47158353,Weekday,12,41,2,0.3751,0.0,false,-0.5135,-0.1314,true,-0.3648
GT_47158353,Weekday,13,20,2,0.2516,0.1597,true,0.0533,-0.1414,false,
GT_19555569,Weekday,9,25,2,0.1337,0.7642,true,0.0377,-0.2,false,
GT_81295434,Weekday,8,27,2,0.2375,0.096,true,0.1399,0.1386,false,
GT_24478344,Weekday,9,47,2,0.2088,0.0338,false,0.1231,-0.4,true,
GT_88561539,Weekday,12,49,2,0.1317,0.3658,true,0.0271,-0.187,false,
GT_88561539,Weekday,13,16,2,0.146,0.8853,true,-0.0782,-0.2588,false,
GT_30464676,Weekday,8,59,2,0.2253,0.0052,false,0.1154,-0.2916,false,
GT_30464676,Weekday,9,15,2,0.1745,0.7518,true,0.1471,-0.3393,true,
GT_46009656,Weekday,7,39,2,0.4408,0.0,false,0.0376,-0.354,true,0.078
GT_46009656,Weekday,8,36,2,0.383,0.0001,false,-0.1263,-0.3941,true,
GT_74843010,Weekday,8,39,2,0.2238,0.0408,false,0.0708,-0.2719,false,
GT_97867440,Weekday,9,57,2,0.3036,0.0001,false,-0.1935,-0.3796,true,
GT_97867440,Weekday,12,27,2,0.246,0.0768,true,-0.2012,-0.3468,true,
GT_97867440,Weekday,13,20,2,0.1065,0.9774,true,-0.0735,-0.2481,false,
GT_50986683,Weekday,8,23,2,0.3137,0.0218,false,0.0118,-0.0534,false,
GT_50986683,Weekday,9,18,2,0.3558,0.0212,false,-0.0955,-0.517,true,
GT_81880524,Weekday,12,19,2,0.2329,0.2549,true,-0.0514,0.0789,false,
GT_86810130,Weekday,9,22,2,0.2253,0.2152,true,0.1424,-0.2242,false,
GT_86810130,Weekday,10,18,2,0.1145,0.9725,true,0.0945,-0.0382,false,
GT_90692118,Weekday,9,37,2,0.1271,0.5904,true,0.166,0.1363,false,
GT_10909503,Weekday,8,35,2,0.244,0.0315,false,0.2184,0.1672,false,
GT_50725917,Weekday,8,52,2,0.2927,0.0003,false,-0.2552,-0.4994,true,
