L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.021502 nats  (excellent)
  Plug-in duration   : 0.017441 nats  (excellent)
  Idle gap           : 0.095664 nats  (acceptable)
  Energy             : 0.028176 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0000   0.0000
  01   0.0000   0.0000
  02   0.0000   0.0000
  03   0.0000   0.0000
  04   0.0000   0.0000
  05   0.0000   0.0000
  06   0.0000   0.0000
  07   0.0000   0.0000
  08   0.0192   0.0169
  09   0.0456   0.0452
  10   0.0809   0.0805
  11   0.1579   0.1586
  12   0.1579   0.1986
  13   0.0923   0.0864
  14   0.0471   0.0323
  15   0.0460   0.0476
  16   0.1017   0.0938
  17   0.1390   0.1488
  18   0.0664   0.0673
  19   0.0279   0.0172
  20   0.0134   0.0034
  21   0.0039   0.0015
  22   0.0008   0.0015
  23   0.0000   0.0003
