L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.019574 nats  (excellent)
  Plug-in duration   : 0.031843 nats  (excellent)
  Idle gap           : 0.066560 nats  (acceptable)
  Energy             : 0.024590 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0035   0.0028
  01   0.0047   0.0041
  02   0.0029   0.0033
  03   0.0018   0.0016
  04   0.0006   0.0024
  05   0.0006   0.0041
  06   0.0012   0.0033
  07   0.0393   0.0354
  08   0.0762   0.0615
  09   0.1032   0.0899
  10   0.0152   0.0130
  11   0.0182   0.0094
  12   0.0223   0.0208
  13   0.0328   0.0346
  14   0.0393   0.0488
  15   0.0715   0.0781
  16   0.1905   0.1941
  17   0.1723   0.1738
  18   0.0739   0.0594
  19   0.0428   0.0570
  20   0.0381   0.0358
  21   0.0182   0.0175
  22   0.0123   0.0183
  23   0.0188   0.0309
