L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.023983 nats  (excellent)
  Plug-in duration   : 0.026446 nats  (excellent)
  Idle gap           : 0.066568 nats  (acceptable)
  Energy             : 0.036424 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0035   0.0017
  01   0.0047   0.0017
  02   0.0029   0.0042
  03   0.0018   0.0021
  04   0.0006   0.0025
  05   0.0006   0.0017
  06   0.0012   0.0017
  07   0.0393   0.0335
  08   0.0762   0.0670
  09   0.1032   0.0858
  10   0.0152   0.0075
  11   0.0182   0.0105
  12   0.0223   0.0230
  13   0.0328   0.0347
  14   0.0393   0.0553
  15   0.0715   0.0816
  16   0.1905   0.2139
  17   0.1723   0.1515
  18   0.0739   0.0745
  19   0.0428   0.0473
  20   0.0381   0.0289
  21   0.0182   0.0243
  22   0.0123   0.0138
  23   0.0188   0.0314
