user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
KR_1231,Weekday,18,17,1,0.1953,0.5365,true,0.3872,0.3603,true,
KR_1231,Weekday,19,17,1,0.1611,0.7704,true,0.1652,-0.1912,false,
KR_401,Weekday,17,25,1,0.1029,0.9544,true,0.0788,-0.1531,false,
KR_102,Weekday,17,16,1,0.1195,0.9765,true,0.119,-0.0382,false,
KR_102,Weekday,19,17,1,0.2014,0.4968,true,-0.0484,-0.0147,false,
KR_102,Weekday,20,18,1,0.1129,0.976,true,0.2391,0.2281,false,
KR_160,Weekday,17,24,1,0.0944,0.9833,true,-0.1771,-0.2574,false,
KR_160,Weekday,18,37,1,0.1326,0.5362,true,-0.3215,-0.3743,true,
KR_932,Weekday,9,24,1,0.2615,0.0756,true,-0.3345,-0.6574,true,
KR_1433,Weekday,9,16,1,0.1301,0.9497,true,0.6215,0.6235,true,
KR_70,Weekday,9,29,1,0.2295,0.095,true,-0.0946,-0.4621,true,
KR_70,Weekday,10,133,1,0.1997,0.0001,false,-0.1087,-0.331,true,
KR_178,Weekday,8,38,1,0.1879,0.1382,true,0.2531,-0.066,false,
KR_422,Weekday,17,22,1,0.2392,0.1623,true,0.1425,-0.1779,false,
KR_20,Weekday,15,16,1,0.2164,0.443,true,0.017,-0.1088,false,
KR_20,Weekday,16,25,1,0.1465,0.6582,true,0.0333,-0.0862,false,
KR_20,Weekday,17,47,1,0.1837,0.0849,true,0.0777,-0.0769,false,
KR_20,Weekday,18,17,1,0.1106,0.9856,true,0.1916,-0.0123,false,
KR_223,Weekday,9,25,1,0.1054,0.9446,true,-0.3341,-0.4331,true,
KR_223,Weekday,10,18,1,0.1117,0.9783,true,0.0509,-0.1207,false,
KR_927,Weekday,20,15,1,0.3879,0.0221,false,0.5547,-0.0964,true,0.4937
KR_927,Weekday,24,21,1,0.1818,0.4923,true,0.0496,0.0818,false,
KR_1226,Weekday,18,19,1,0.1258,0.9248,true,-0.0372,-0.0702,false,
KR_29,Weekday,17,72,1,0.1763,0.0235,false,0.0518,-0.3773,true,
KR_29,Weekday,18,94,1,0.1527,0.0261,false,-0.0663,-0.5679,true,
