user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
KR_U187,Weekday,24,45,1,0.1803,0.1087,true,0.1332,-0.0739,false,
KR_U434,Weekday,17,20,1,0.1763,0.5644,true,-0.1144,-0.4346,true,
KR_U434,Weekday,18,46,1,0.0936,0.8175,true,-0.142,-0.1346,false,
KR_U434,Weekday,19,17,1,0.1424,0.8817,true,-0.0576,-0.3374,true,
KR_U89,Weekday,6,35,1,0.4141,0.0,false,-0.0295,-0.3603,true,
KR_U89,Weekday,7,29,1,0.2073,0.1664,true,-0.156,-0.2484,false,
KR_U507,Weekday,19,15,1,0.1736,0.7574,true,0.0727,-0.1756,false,
KR_U1228,Weekday,18,44,1,0.156,0.2366,true,0.055,-0.3033,true,
KR_U1228,Weekday,19,62,1,0.1128,0.4127,true,-0.138,-0.3275,true,
KR_U1230,Weekday,18,57,1,0.1545,0.1336,true,-0.1195,-0.1698,false,
KR_U127,Weekday,15,15,1,0.1319,0.9568,true,0.5733,0.3289,true,
KR_U127,Weekday,16,33,1,0.1284,0.6502,true,0.2494,0.168,false,
KR_U127,Weekday,17,19,1,0.1576,0.7341,true,0.3505,-0.0369,true,
KR_U127,Weekday,18,26,1,0.0842,0.9929,true,-0.1588,-0.1945,false,
KR_U1225,Weekend,18,15,1,0.2358,0.3756,true,0.1989,-0.0161,false,
KR_U1446,Weekday,17,26,1,0.1189,0.8568,true,-0.2589,-0.3199,true,
KR_U1446,Weekday,18,31,1,0.1961,0.1857,true,-0.1162,-0.0825,false,
KR_U280,Weekday,1,16,1,0.1706,0.7412,true,0.2428,0.1324,false,
KR_U98,Weekday,16,17,1,0.1391,0.8978,true,0.3452,0.375,true,
KR_U98,Weekday,17,15,1,0.1696,0.7819,true,0.1571,0.0571,false,
KR_U98,Weekday,18,18,1,0.1397,0.8743,true,-0.0159,0.126,false,
KR_U98,Weekday,19,16,1,0.1422,0.9032,true,0.1733,0.3647,true,
KR_U186,Weekday,19,27,1,0.1872,0.3019,true,-0.0933,-0.0434,false,
KR_U186,Weekday,20,25,1,0.1506,0.6237,true,0.3756,0.2866,true,
KR_U73,Weekday,11,25,1,0.2412,0.1099,true,0.6808,-0.1147,true,
KR_U73,Weekday,15,18,1,0.1351,0.8984,true,0.4821,0.3911,true,
KR_U106,Weekday,19,31,1,0.1928,0.2008,true,0.0295,0.0259,false,
KR_U106,Weekday,21,38,1,0.1363,0.4828,true,0.1781,0.2623,false,
KR_U194,Weekday,24,17,1,0.2136,0.4211,true,0.2666,0.2233,false,
KR_U8,Weekday,18,29,1,0.1708,0.3679,true,0.3222,0.3239,true,
KR_U8,Weekday,19,16,1,0.1856,0.641,true,0.4797,0.0619,true,
KR_U124,Weekday,19,34,1,0.195,0.152,true,-0.2063,-0.4796,true,
KR_U124,Weekday,20,15,1,0.2967,0.143,true,-0.2079,-0.3286,true,
KR_U1225,Weekday,18,83,1,0.1587,0.0316,false,-0.0201,-0.313,true,
KR_U1225,Weekday,19,18,1,0.1522,0.7995,true,0.0698,-0.1685,false,
KR_U107,Weekday,20,19,1,0.2166,0.3358,true,-0.0037,0.3351,true,
KR_U1629,Weekday,9,18,1,0.1822,0.5897,true,-0.0031,0.2301,false,
KR_U1629,Weekday,13,16,1,0.2179,0.4341,true,0.6103,0.6156,true,
KR_U187,Weekend,24,20,1,0.1579,0.7022,true,0.0558,-0.1211,false,
KR_U283,Weekday,19,21,1,0.164,0.6255,true,0.2976,0.1416,false,
KR_U463,Weekday,7,27,1,0.1834,0.3257,true,0.1954,0.5347,true,
KR_U463,Weekday,8,29,1,0.1008,0.9307,true,0.1092,0.385,true,
KR_U463,Weekday,11,19,1,0.1043,0.986,true,-0.0224,0.08,false,
KR_U463,Weekday,12,16,1,0.1589,0.8147,true,-0.1684,-0.0162,false,
KR_U1222,Weekday,18,56,1,0.121,0.3882,true,-0.0548,0.0309,false,
KR_U1764,Weekday,19,26,1,0.1609,0.5129,true,0.3205,0.1197,true,
KR_U1228,Weekend,18,23,1,0.1375,0.7785,true,-0.3756,-0.4739,true,
