L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.013228 nats  (excellent)
  Plug-in duration   : 0.011819 nats  (excellent)
  Idle gap           : 0.036498 nats  (excellent)
  Energy             : 0.017755 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0183   0.0108
  01   0.0062   0.0074
  02   0.0033   0.0074
  03   0.0026   0.0062
  04   0.0049   0.0040
  05   0.0229   0.0210
  06   0.0281   0.0264
  07   0.0183   0.0252
  08   0.0203   0.0190
  09   0.0252   0.0170
  10   0.0379   0.0411
  11   0.0291   0.0235
  12   0.0288   0.0244
  13   0.0291   0.0286
  14   0.0412   0.0388
  15   0.0507   0.0525
  16   0.0709   0.0746
  17   0.1883   0.1936
  18   0.1455   0.1557
  19   0.0716   0.0686
  20   0.0490   0.0502
  21   0.0360   0.0244
  22   0.0229   0.0301
  23   0.0490   0.0496
