L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.012176 nats  (excellent)
  Plug-in duration   : 0.015504 nats  (excellent)
  Idle gap           : 0.082539 nats  (acceptable)
  Energy             : 0.016457 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0183   0.0146
  01   0.0062   0.0040
  02   0.0033   0.0051
  03   0.0026   0.0037
  04   0.0049   0.0054
  05   0.0229   0.0194
  06   0.0281   0.0369
  07   0.0183   0.0249
  08   0.0203   0.0140
  09   0.0252   0.0166
  10   0.0379   0.0440
  11   0.0291   0.0274
  12   0.0288   0.0260
  13   0.0291   0.0283
  14   0.0412   0.0392
  15   0.0507   0.0563
  16   0.0709   0.0792
  17   0.1883   0.1872
  18   0.1455   0.1561
  19   0.0716   0.0652
  20   0.0490   0.0452
  21   0.0360   0.0240
  22   0.0229   0.0260
  23   0.0490   0.0512
