user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
KR_U187,Weekday,24,45,1,0.1434,0.3158,true,0.1332,-0.0739,false,
KR_U434,Weekday,17,20,1,0.1793,0.5424,true,-0.1144,-0.4346,true,
KR_U434,Weekday,18,46,1,0.0999,0.751,true,-0.142,-0.1346,false,
KR_U434,Weekday,19,17,1,0.1411,0.8883,true,-0.0576,-0.3374,true,
KR_U89,Weekday,6,35,1,0.1646,0.3008,true,-0.0295,-0.3603,true,
KR_U89,Weekday,7,29,1,0.435,0.0,false,-0.156,-0.2484,false,-0.1183
KR_U507,Weekday,19,15,1,0.1854,0.6819,true,0.0727,-0.1756,false,
KR_U1228,Weekday,18,44,1,0.1627,0.1963,true,0.055,-0.3033,true,
KR_U1228,Weekday,19,62,1,0.1025,0.5371,true,-0.138,-0.3275,true,
KR_U1230,Weekday,18,57,1,0.1262,0.3277,true,-0.1195,-0.1698,false,
KR_U127,Weekday,15,15,1,0.1401,0.9303,true,0.5733,0.3289,true,
KR_U127,Weekday,16,33,1,0.1327,0.6087,true,0.2494,0.168,false,
KR_U127,Weekday,17,19,1,0.2469,0.1981,true,0.3505,-0.0369,true,
KR_U127,Weekday,18,26,1,0.0825,0.9945,true,-0.1588,-0.1945,false,
KR_U1225,Weekend,18,15,1,0.2363,0.373,true,0.1989,-0.0161,false,
KR_U1446,Weekday,17,26,1,0.1933,0.2872,true,-0.2589,-0.3199,true,
KR_U1446,Weekday,18,31,1,0.1544,0.4531,true,-0.1162,-0.0825,false,
KR_U280,Weekday,1,16,1,0.169,0.7516,true,0.2428,0.1324,false,
KR_U98,Weekday,16,17,1,0.1124,0.9828,true,0.3452,0.375,true,
KR_U98,Weekday,17,15,1,0.1641,0.8145,true,0.1571,0.0571,false,
KR_U98,Weekday,18,18,1,0.126,0.9378,true,-0.0159,0.126,false,
KR_U98,Weekday,19,16,1,0.1491,0.8696,true,0.1733,0.3647,true,
KR_U186,Weekday,19,27,1,0.1042,0.9318,true,-0.0933,-0.0434,false,
KR_U186,Weekday,20,25,1,0.1431,0.6868,true,0.3756,0.2866,true,
KR_U73,Weekday,11,25,1,0.2334,0.1321,true,0.6808,-0.1147,true,
KR_U73,Weekday,15,18,1,0.1389,0.8789,true,0.4821,0.3911,true,
KR_U106,Weekday,19,31,1,0.1991,0.1724,true,0.0295,0.0259,false,
KR_U106,Weekday,21,38,1,0.1297,0.5474,true,0.1781,0.2623,false,
KR_U194,Weekday,24,17,1,0.2102,0.4415,true,0.2666,0.2233,false,
KR_U8,Weekday,18,29,1,0.168,0.3882,true,0.3222,0.3239,true,
KR_U8,Weekday,19,16,1,0.189,0.6181,true,0.4797,0.0619,true,
KR_U124,Weekday,19,34,1,0.2014,0.128,true,-0.2063,-0.4796,true,
KR_U124,Weekday,20,15,1,0.2886,0.1648,true,-0.2079,-0.3286,true,
KR_U1225,Weekday,18,83,1,0.1591,0.0309,false,-0.0201,-0.313,true,
KR_U1225,Weekday,19,18,1,0.1557,0.7764,true,0.0698,-0.1685,false,
KR_U107,Weekday,20,19,1,0.2176,0.3304,true,-0.0037,0.3351,true,
KR_U1629,Weekday,9,18,1,0.1966,0.4909,true,-0.0031,0.2301,false,
KR_U1629,Weekday,13,16,1,0.2167,0.4412,true,0.6103,0.6156,true,
KR_U187,Weekend,24,20,1,0.1617,0.6737,true,0.0558,-0.1211,false,
KR_U283,Weekday,19,21,1,0.1617,0.6433,true,0.2976,0.1416,false,
KR_U463,Weekday,7,27,1,0.1853,0.3138,true,0.1954,0.5347,true,
KR_U463,Weekday,8,29,1,0.1048,0.9084,true,0.1092,0.385,true,
KR_U463,Weekday,11,19,1,0.12,0.9476,true,-0.0224,0.08,false,
KR_U463,Weekday,12,16,1,0.1655,0.774,true,-0.1684,-0.0162,false,
KR_U1222,Weekday,18,56,1,0.1232,0.3668,true,-0.0548,0.0309,false,
KR_U1764,Weekday,19,26,1,0.1629,0.4968,true,0.3205,0.1197,true,
KR_U1228,Weekend,18,23,1,0.1371,0.7815,true,-0.3756,-0.4739,true,
