L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.013932 nats  (excellent)
  Plug-in duration   : 0.016750 nats  (excellent)
  Idle gap           : 0.009378 nats  (excellent)
  Energy             : 0.023056 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0183   0.0142
  01   0.0062   0.0073
  02   0.0033   0.0055
  03   0.0026   0.0055
  04   0.0049   0.0049
  05   0.0229   0.0198
  06   0.0281   0.0299
  07   0.0183   0.0139
  08   0.0203   0.0151
  09   0.0252   0.0137
  10   0.0379   0.0322
  11   0.0291   0.0224
  12   0.0288   0.0200
  13   0.0291   0.0270
  14   0.0412   0.0485
  15   0.0507   0.0581
  16   0.0709   0.0712
  17   0.1883   0.1969
  18   0.1455   0.1612
  19   0.0716   0.0799
  20   0.0490   0.0502
  21   0.0360   0.0311
  22   0.0229   0.0253
  23   0.0490   0.0462
