user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
KR_U195,Weekday,10,20,1,0.1809,0.5309,true,-0.0977,-0.079,false,
KR_U187,Weekday,1,15,2,0.1761,0.7415,true,0.3304,-0.0197,true,
KR_U187,Weekday,12,46,1,0.1767,0.1147,true,0.1155,-0.0799,false,
KR_U434,Weekday,5,19,1,0.1304,0.9038,true,-0.2375,-0.3667,true,
KR_U434,Weekday,9,66,1,0.0647,0.9463,true,-0.1399,-0.1738,false,
KR_U434,Weekday,10,18,1,0.13,0.9217,true,-0.0586,-0.282,false,
KR_U89,Weekday,3,35,1,0.1649,0.2988,true,-0.0295,-0.3603,true,
KR_U89,Weekday,4,30,1,0.4312,0.0,false,-0.0812,-0.2741,false,
KR_U245,Weekday,10,19,1,0.1355,0.877,true,0.451,0.3695,true,
KR_U1489,Weekday,10,28,1,0.173,0.3736,true,-0.2683,-0.3698,true,
KR_U1228,Weekday,9,46,1,0.1555,0.2184,true,0.0408,-0.2948,false,
KR_U1228,Weekday,10,67,1,0.1018,0.4948,true,-0.1254,-0.3229,true,
KR_U1230,Weekday,9,58,1,0.1272,0.3084,true,-0.076,-0.1256,false,
KR_U127,Weekday,8,48,1,0.2464,0.0061,false,0.3376,0.2451,true,
KR_U127,Weekday,9,45,1,0.2324,0.0158,false,0.1652,-0.1237,false,
KR_U285,Weekday,11,15,1,0.1979,0.6005,true,0.0256,0.1185,false,
KR_U1446,Weekday,9,57,1,0.1535,0.1383,true,-0.219,-0.2732,false,
KR_U23,Weekday,7,16,1,0.1844,0.6491,true,0.66,0.4728,true,
KR_U23,Weekday,9,15,1,0.1994,0.5908,true,-0.0005,-0.0483,false,
KR_U403,Weekday,9,25,1,0.1073,0.9363,true,0.0173,0.0654,false,
KR_U236,Weekday,10,15,1,0.1556,0.8612,true,0.22,0.2913,false,
KR_U236,Weekday,11,20,1,0.1396,0.8315,true,0.4531,0.4288,true,
KR_U98,Weekday,8,25,1,0.1151,0.8958,true,0.1763,0.1962,false,
KR_U98,Weekday,9,33,1,0.1488,0.4604,true,0.103,0.119,false,
KR_U98,Weekday,10,25,1,0.0751,0.999,true,0.1696,0.2085,false,
KR_U186,Weekday,10,52,1,0.1359,0.2946,true,0.1975,0.1165,false,
KR_U73,Weekday,6,39,1,0.2402,0.0226,false,0.4781,0.0767,true,
KR_U73,Weekday,7,16,1,0.1578,0.8212,true,0.5771,0.5735,true,
KR_U73,Weekday,8,24,1,0.1432,0.7098,true,0.3752,0.3075,true,
KR_U8,Weekday,9,36,1,0.1526,0.3734,true,0.3256,0.2724,true,
KR_U8,Weekday,10,29,1,0.1785,0.3156,true,0.2253,0.1082,false,
KR_U107,Weekday,10,24,1,0.2509,0.0981,true,-0.0795,0.1435,false,
KR_U107,Weekday,11,15,1,0.197,0.6063,true,-0.0245,-0.0036,false,
KR_U1224,Weekday,6,18,1,0.2022,0.4543,true,-0.066,-0.0516,false,
KR_U291,Weekday,9,19,1,0.1359,0.8749,true,0.1287,0.3344,true,
KR_U187,Weekend,12,20,1,0.1662,0.6398,true,0.0558,-0.1211,false,
KR_U1222,Weekday,9,57,1,0.1216,0.3722,true,-0.0544,0.0408,false,
KR_U13,Weekday,10,15,1,0.1636,0.8178,true,0.2532,0.3464,true,
KR_U1764,Weekday,10,28,1,0.2098,0.1712,true,0.373,0.1881,true,
KR_U96,Weekday,10,17,1,0.2412,0.2771,true,0.1965,-0.1299,false,
KR_U96,Weekday,11,17,1,0.1985,0.5157,true,-0.4645,-0.5089,true,
KR_U375,Weekday,9,19,1,0.1899,0.5009,true,0.08,0.0571,false,
KR_U124,Weekend,10,19,1,0.2462,0.2006,true,-0.4886,-0.614,true,
KR_U1230,Weekend,9,15,1,0.1943,0.6241,true,0.2669,0.2,false,
KR_U455,Weekday,10,31,1,0.1069,0.8715,true,-0.0464,-0.4006,true,
KR_U1447,Weekday,8,17,1,0.2129,0.4253,true,0.1838,0.2574,false,
KR_U1447,Weekday,9,34,1,0.1462,0.4635,true,0.189,-0.0002,false,
KR_U507,Weekday,10,20,1,0.1853,0.4996,true,0.0127,-0.2219,false,
KR_U190,Weekday,10,17,1,0.1953,0.537,true,-0.0081,-0.1789,false,
KR_U1225,Weekend,9,23,1,0.2434,0.1318,true,0.0158,-0.1226,false,
KR_U1448,Weekday,8,17,1,0.1309,0.933,true,-0.3747,-0.3436,true,
KR_U1448,Weekday,9,33,1,0.0812,0.9818,true,-0.0582,-0.0562,false,
KR_U280,Weekday,1,25,1,0.1083,0.9317,true,0.1312,-0.0038,false,
KR_U109,Weekday,10,21,1,0.1066,0.9712,true,0.5334,0.4756,true,
KR_U109,Weekday,12,19,1,0.1193,0.9501,true,-0.153,-0.3126,true,
KR_U106,Weekday,10,43,1,0.1418,0.3559,true,-0.0083,-0.0274,false,
KR_U106,Weekday,11,46,1,0.1397,0.3336,true,0.1461,0.2803,false,
KR_U199,Weekday,10,19,1,0.1753,0.605,true,-0.2425,-0.2439,false,
KR_U199,Weekday,11,26,1,0.1103,0.9107,true,-0.0909,-0.0482,false,
KR_U194,Weekday,12,25,1,0.1741,0.4363,true,0.2464,0.2149,false,
KR_U124,Weekday,10,49,1,0.2062,0.0316,false,-0.2204,-0.4301,true,
KR_U1225,Weekday,9,84,1,0.1604,0.0275,false,-0.02,-0.3031,true,
KR_U1225,Weekday,10,19,1,0.1469,0.8075,true,0.0124,-0.2551,false,
KR_U1629,Weekday,5,26,1,0.1941,0.2824,true,-0.1784,0.0899,false,
KR_U1629,Weekday,7,20,1,0.0968,0.9921,true,0.5655,0.4259,true,
KR_U1629,Weekday,8,15,1,0.2324,0.3935,true,-0.0478,-0.0036,false,
KR_U283,Weekday,10,28,1,0.1424,0.6234,true,0.1711,0.061,false,
KR_U463,Weekday,4,56,1,0.0892,0.7674,true,0.1109,0.427,true,
KR_U463,Weekday,5,15,1,0.295,0.1474,true,-0.1181,-0.227,false,
KR_U463,Weekday,6,35,1,0.2323,0.0463,false,-0.0362,0.0059,false,0.0149
KR_U463,Weekday,7,15,1,0.3223,0.089,true,-0.2567,-0.4576,true,
KR_U1228,Weekend,9,28,1,0.1153,0.852,true,-0.3076,-0.4279,true,
