L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.007973 nats  (excellent)
  Plug-in duration   : 0.002425 nats  (excellent)
  Idle gap           : 0.076338 nats  (acceptable)
  Energy             : 0.010017 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0157   0.0082
  01   0.0048   0.0066
  02   0.0036   0.0041
  03   0.0024   0.0027
  04   0.0036   0.0039
  05   0.0172   0.0181
  06   0.0212   0.0183
  07   0.0138   0.0131
  08   0.0210   0.0201
  09   0.0265   0.0234
  10   0.0372   0.0337
  11   0.0317   0.0318
  12   0.0320   0.0259
  13   0.0308   0.0388
  14   0.0415   0.0429
  15   0.0539   0.0503
  16   0.0761   0.0732
  17   0.1682   0.1617
  18   0.1398   0.1543
  19   0.0840   0.0985
  20   0.0582   0.0513
  21   0.0429   0.0429
  22   0.0303   0.0298
  23   0.0437   0.0460
