L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.020771 nats  (excellent)
  Plug-in duration   : 0.027729 nats  (excellent)
  Idle gap           : 0.055333 nats  (acceptable)
  Energy             : 0.029274 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0213   0.0174
  01   0.0103   0.0141
  02   0.0032   0.0093
  03   0.0032   0.0093
  04   0.0116   0.0036
  05   0.0052   0.0097
  06   0.0090   0.0113
  07   0.0161   0.0166
  08   0.0258   0.0214
  09   0.0271   0.0319
  10   0.0213   0.0311
  11   0.0265   0.0331
  12   0.0329   0.0287
  13   0.0348   0.0311
  14   0.0497   0.0545
  15   0.0865   0.0920
  16   0.1252   0.1179
  17   0.1129   0.1167
  18   0.0935   0.0900
  19   0.0774   0.0715
  20   0.0632   0.0642
  21   0.0529   0.0537
  22   0.0432   0.0367
  23   0.0471   0.0343
