L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.008363 nats  (excellent)
  Plug-in duration   : 0.012008 nats  (excellent)
  Idle gap           : 0.011972 nats  (excellent)
  Energy             : 0.004047 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0161   0.0083
  01   0.0088   0.0067
  02   0.0032   0.0057
  03   0.0039   0.0085
  04   0.0086   0.0116
  05   0.0054   0.0073
  06   0.0095   0.0086
  07   0.0185   0.0161
  08   0.0243   0.0254
  09   0.0243   0.0271
  10   0.0209   0.0235
  11   0.0267   0.0257
  12   0.0295   0.0321
  13   0.0359   0.0390
  14   0.0508   0.0580
  15   0.0852   0.0799
  16   0.1318   0.1274
  17   0.1146   0.1120
  18   0.0983   0.0956
  19   0.0735   0.0758
  20   0.0731   0.0678
  21   0.0546   0.0495
  22   0.0391   0.0407
  23   0.0434   0.0476
