user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
gist|KR_U1225,Weekday,18,29,1,0.2602,0.0399,false,-0.1957,-0.5288,true,-0.3071
norway|BAR_Plass160,Weekday,18,18,1,0.2383,0.2594,true,0.8913,0.8818,true,
norway|OSL_S_KT138,Weekend,5,15,1,0.2269,0.4235,true,-0.2598,-0.6786,true,
kim|KR_70,Weekday,10,39,1,0.2036,0.0798,true,0.2793,-0.0923,false,
norway|OSL_S_KT169,Weekday,15,26,1,0.0917,0.9812,true,-0.2779,0.0048,false,
kim|KR_1231,Weekday,18,18,1,0.215,0.3771,true,0.446,0.4551,true,
kim|KR_1231,Weekday,19,17,1,0.1719,0.6974,true,0.1652,-0.1912,false,
norway|TRO_R_UT15-2,Weekday,17,15,1,0.4147,0.0116,false,0.3654,0.375,true,
kim|KR_178,Weekday,8,38,1,0.1356,0.4894,true,0.2531,-0.066,false,
gist|KR_U89,Weekday,7,19,1,0.424,0.0022,false,-0.0012,-0.1936,false,-0.0117
gist|KR_U124,Weekday,19,15,1,0.2888,0.1643,true,-0.5112,-0.6494,true,
gist|KR_U186,Weekday,19,19,1,0.1561,0.7444,true,0.2054,0.108,false,
norway|OSL_T_26,Weekday,17,22,1,0.2737,0.0746,true,-0.1477,-0.2573,false,
norway|BAR_Plass126,Weekday,17,20,1,0.221,0.2838,true,-0.2264,-0.1971,false,
norway|OSL_S_KT138,Weekday,21,15,1,0.19,0.6521,true,0.1374,0.35,true,
kim|KR_401,Weekday,17,22,1,0.1868,0.4279,true,0.143,-0.0277,false,
kim|KR_1226,Weekday,18,20,1,0.1662,0.6398,true,0.0517,0.006,false,
kim|KR_1433,Weekday,9,17,1,0.2371,0.2956,true,0.3925,0.6225,true,
gist|KR_U127,Weekday,16,17,1,0.1452,0.8665,true,0.2922,0.2843,false,
gist|KR_U1222,Weekday,18,35,1,0.1881,0.1693,true,0.2798,0.1947,false,
gist|KR_U187,Weekday,24,31,1,0.1686,0.3435,true,0.1322,-0.1727,false,
gist|KR_U1446,Weekday,17,16,1,0.1558,0.8329,true,-0.2224,-0.3046,true,
norway|BAR_Plass129,Weekday,16,18,1,0.2001,0.4678,true,-0.1299,0.1497,false,
gist|KR_U1228,Weekday,19,27,1,0.1726,0.399,true,0.0513,-0.1651,false,
kim|KR_927,Weekday,24,20,1,0.188,0.4808,true,0.0228,0.0195,false,
kim|KR_223,Weekday,9,20,1,0.0702,1.0,true,-0.3498,-0.4406,true,
kim|KR_223,Weekday,10,19,1,0.1111,0.9735,true,0.068,-0.1719,false,
norway|ASK_Plass21,Weekday,17,17,1,0.2538,0.2243,true,0.275,0.4779,true,
norway|TRO_R_Bl2-8,Weekday,17,15,1,0.2541,0.2884,true,0.625,0.7179,true,
norway|ASK_Plass45,Weekday,21,21,1,0.3191,0.0281,false,0.3951,0.163,true,
kim|KR_233,Weekday,21,16,1,0.1988,0.553,true,0.4583,0.3923,true,
kim|KR_422,Weekday,17,30,1,0.1407,0.5942,true,0.3382,0.1671,true,
kim|KR_20,Weekday,17,19,1,0.0824,0.9995,true,0.1188,-0.086,false,
gist|KR_U1230,Weekday,18,33,1,0.1585,0.3805,true,-0.1442,-0.164,false,
kim|KR_29,Weekday,17,23,1,0.3435,0.0089,false,0.1772,-0.1482,false,0.1734
kim|KR_29,Weekday,18,15,1,0.3971,0.0178,false,-0.1089,-0.5571,true,-0.1016
kim|KR_932,Weekday,9,24,1,0.249,0.1026,true,-0.3345,-0.6574,true,
norway|TRO_R_AsO2-1,Weekday,17,15,1,0.2318,0.3969,true,-0.2078,-0.2967,false,
norway|OSL_T_63,Weekday,5,16,1,0.27,0.1946,true,0.8322,0.2237,true,
norway|ASK_Plass27,Weekday,16,18,1,0.3269,0.043,false,0.1939,0.2509,false,
