L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.010799 nats  (excellent)
  Plug-in duration   : 0.016295 nats  (excellent)
  Idle gap           : 0.003463 nats  (excellent)
  Energy             : 0.003473 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0207   0.0166
  01   0.0115   0.0087
  02   0.0079   0.0067
  03   0.0110   0.0103
  04   0.0118   0.0143
  05   0.0042   0.0054
  06   0.0046   0.0032
  07   0.0087   0.0049
  08   0.0125   0.0075
  09   0.0108   0.0072
  10   0.0176   0.0119
  11   0.0259   0.0205
  12   0.0302   0.0225
  13   0.0383   0.0310
  14   0.0626   0.0625
  15   0.0937   0.0951
  16   0.1214   0.1313
  17   0.0930   0.1042
  18   0.0828   0.0864
  19   0.0829   0.0916
  20   0.0838   0.0885
  21   0.0667   0.0718
  22   0.0614   0.0600
  23   0.0357   0.0380
