user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
OSL_T_41,Weekday,9,28,2,0.1722,0.3795,true,0.0208,-0.0536,false,
OSL_T_41,Weekday,10,15,2,0.2204,0.4608,true,0.564,0.3429,true,
OSL_T_41,Weekday,11,18,2,0.1828,0.5855,true,-0.4552,-0.2611,true,
TRO_R_AdO1-3,Weekday,9,68,2,0.2033,0.0075,false,0.1527,0.5207,true,
TRO_R_AdO1-3,Weekday,10,37,2,0.1462,0.4101,true,0.2025,0.3246,true,
TRO_R_AdO1-3,Weekday,11,30,2,0.1454,0.552,true,0.0216,-0.0149,false,
OSL_S_KT202,Weekday,8,68,2,0.2006,0.0087,false,0.3158,0.5066,true,
OSL_S_KT202,Weekday,9,24,2,0.207,0.2565,true,0.1803,0.5288,true,
OSL_S_KT202,Weekday,10,39,2,0.114,0.6941,true,0.2553,0.2849,false,
OSL_S_KT202,Weekday,11,28,2,0.1304,0.7298,true,0.1106,0.0454,false,
TRO_Plass41,Weekday,5,17,2,0.1671,0.7306,true,-0.1689,-0.0111,false,
TRO_Plass41,Weekday,6,29,2,0.1903,0.2457,true,0.6129,0.2952,true,
TRO_Plass41,Weekday,7,39,2,0.3115,0.0011,false,0.5708,-0.0018,true,0.3793
TRO_Plass41,Weekday,8,37,2,0.1574,0.3207,true,0.0651,-0.0333,false,
TRO_Plass41,Weekday,9,47,2,0.1807,0.0941,true,0.3817,0.4054,true,
TRO_Plass41,Weekday,10,47,2,0.089,0.8522,true,0.1173,0.0763,false,
TRO_Plass41,Weekday,11,43,2,0.1234,0.5316,true,-0.2424,0.1326,false,
TRO_Plass41,Weekday,12,26,2,0.1543,0.5676,true,-0.1645,-0.3892,true,
ASK_Plass45,Weekday,8,23,2,0.1385,0.7705,true,-0.0531,-0.0119,false,
ASK_Plass45,Weekday,10,17,2,0.1675,0.7276,true,-0.044,-0.1275,false,
ASK_Plass45,Weekday,11,86,2,0.1449,0.0558,true,0.2726,0.0577,false,
ASK_Plass55,Weekday,8,19,2,0.2081,0.3839,true,0.2888,0.3263,true,
ASK_Plass55,Weekday,9,59,2,0.1113,0.4618,true,0.0984,0.2469,false,
ASK_Plass55,Weekday,10,32,2,0.1494,0.4752,true,0.084,0.2768,false,
ASK_Plass55,Weekday,11,27,2,0.2051,0.2072,true,0.0669,-0.1721,false,
TRO_R_Bl2-1,Weekday,8,28,2,0.1829,0.3079,true,0.4595,0.4373,true,
TRO_R_Bl2-1,Weekday,9,24,2,0.2132,0.2265,true,0.3688,0.64,true,
TRO_R_Bl2-1,Weekday,10,38,2,0.1564,0.3124,true,0.2852,0.2949,false,
TRO_R_Bl2-1,Weekday,11,40,2,0.0909,0.897,true,0.0413,-0.0272,false,
TRO_R_Bl2-1,Weekday,12,16,2,0.1919,0.5987,true,-0.0212,-0.1118,false,
BAR_2_Plass14,Weekday,11,18,2,0.136,0.8939,true,0.514,0.2095,true,
BAR_2_Plass14,Weekday,12,16,2,0.1413,0.9072,true,-0.0632,0.1206,false,
BAR_Plass113,Weekend,9,25,2,0.1369,0.7383,true,-0.0225,0.2846,false,
BAR_Plass113,Weekend,10,23,2,0.1616,0.5871,true,0.1986,0.0543,false,
TRO_R_Bl2-7,Weekday,8,15,2,0.2703,0.2238,true,-0.1762,-0.1286,false,
TRO_R_Bl2-7,Weekday,9,24,2,0.1792,0.4257,true,-0.0942,-0.2031,false,
TRO_R_Bl2-7,Weekday,10,19,2,0.2492,0.1894,true,-0.0376,-0.1211,false,
TRO_R_Bl2-7,Weekday,11,18,2,0.2621,0.1692,true,-0.2389,-0.5893,true,
TRO_Plass45,Weekday,8,33,2,0.1481,0.4665,true,0.0746,0.3722,true,
TRO_Plass45,Weekday,9,35,2,0.1627,0.3146,true,-0.0628,-0.1751,false,
TRO_Plass45,Weekday,10,18,2,0.1977,0.4837,true,-0.3326,-0.5225,true,
TRO_Plass45,Weekday,11,16,2,0.1496,0.867,true,-0.1895,0.0294,false,
ASK_Plass29,Weekday,8,51,2,0.2744,0.001,false,0.3987,0.4062,true,
ASK_Plass29,Weekday,9,70,2,0.2173,0.0028,false,0.3754,0.672,true,
ASK_Plass29,Weekday,10,90,2,0.2331,0.0001,false,0.047,0.268,false,
ASK_Plass29,Weekday,11,91,2,0.2762,0.0,false,0.2146,0.1246,false,
ASK_Plass29,Weekday,12,20,2,0.2941,0.0633,true,0.2118,0.2364,false,
TRO_R_SR2-3,Weekday,9,26,2,0.1507,0.5982,true,0.2585,0.4783,true,
