user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
OSL_T_41,Weekday,9,28,2,0.1765,0.3496,true,0.0208,-0.0536,false,
OSL_T_41,Weekday,10,15,2,0.218,0.475,true,0.564,0.3429,true,
OSL_T_41,Weekday,11,18,2,0.1797,0.6075,true,-0.4552,-0.2611,true,
TRO_R_AdO1-3,Weekday,9,68,2,0.2046,0.007,false,0.1527,0.5207,true,
TRO_R_AdO1-3,Weekday,10,37,2,0.1218,0.6444,true,0.2025,0.3246,true,
TRO_R_AdO1-3,Weekday,11,30,2,0.1462,0.5448,true,0.0216,-0.0149,false,
OSL_S_KT202,Weekday,8,68,2,0.209,0.0055,false,0.3158,0.5066,true,
OSL_S_KT202,Weekday,9,24,2,0.2105,0.2394,true,0.1803,0.5288,true,
OSL_S_KT202,Weekday,10,39,2,0.1134,0.6994,true,0.2553,0.2849,false,
OSL_S_KT202,Weekday,11,28,2,0.1327,0.7096,true,0.1106,0.0454,false,
TRO_Plass41,Weekday,5,17,2,0.1671,0.7306,true,-0.1689,-0.0111,false,
TRO_Plass41,Weekday,6,29,2,0.185,0.2755,true,0.6129,0.2952,true,
TRO_Plass41,Weekday,7,39,2,0.31,0.0011,false,0.5708,-0.0018,true,0.3793
TRO_Plass41,Weekday,8,37,2,0.1602,0.3006,true,0.0651,-0.0333,false,
TRO_Plass41,Weekday,9,47,2,0.1823,0.0892,true,0.3817,0.4054,true,
TRO_Plass41,Weekday,10,47,2,0.0893,0.8494,true,0.1173,0.0763,false,
TRO_Plass41,Weekday,11,43,2,0.122,0.5469,true,-0.2424,0.1326,false,
TRO_Plass41,Weekday,12,26,2,0.1524,0.5836,true,-0.1645,-0.3892,true,
ASK_Plass45,Weekday,8,23,2,0.1333,0.8092,true,-0.0531,-0.0119,false,
ASK_Plass45,Weekday,10,17,2,0.1704,0.7077,true,-0.044,-0.1275,false,
ASK_Plass45,Weekday,11,86,2,0.1762,0.0101,false,0.2726,0.0577,false,
ASK_Plass55,Weekday,8,19,2,0.2178,0.3291,true,0.2888,0.3263,true,
ASK_Plass55,Weekday,9,59,2,0.1138,0.4333,true,0.0984,0.2469,false,
ASK_Plass55,Weekday,10,32,2,0.1527,0.4462,true,0.084,0.2768,false,
ASK_Plass55,Weekday,11,27,2,0.194,0.2627,true,0.0669,-0.1721,false,
TRO_R_Bl2-1,Weekday,8,28,2,0.1691,0.4019,true,0.4595,0.4373,true,
TRO_R_Bl2-1,Weekday,9,24,2,0.212,0.2321,true,0.3688,0.64,true,
TRO_R_Bl2-1,Weekday,10,38,2,0.158,0.3009,true,0.2852,0.2949,false,
TRO_R_Bl2-1,Weekday,11,40,2,0.0938,0.8746,true,0.0413,-0.0272,false,
TRO_R_Bl2-1,Weekday,12,16,2,0.1924,0.5953,true,-0.0212,-0.1118,false,
BAR_2_Plass14,Weekday,11,18,2,0.1403,0.8713,true,0.514,0.2095,true,
BAR_2_Plass14,Weekday,12,16,2,0.1351,0.9325,true,-0.0632,0.1206,false,
BAR_Plass113,Weekend,9,25,2,0.1365,0.7415,true,-0.0225,0.2846,false,
BAR_Plass113,Weekend,10,23,2,0.1632,0.5744,true,0.1986,0.0543,false,
TRO_R_Bl2-7,Weekday,8,15,2,0.2165,0.4839,true,-0.1762,-0.1286,false,
TRO_R_Bl2-7,Weekday,9,24,2,0.1826,0.402,true,-0.0942,-0.2031,false,
TRO_R_Bl2-7,Weekday,10,19,2,0.2445,0.2068,true,-0.0376,-0.1211,false,
TRO_R_Bl2-7,Weekday,11,18,2,0.1948,0.5029,true,-0.2389,-0.5893,true,
TRO_Plass45,Weekday,8,33,2,0.1567,0.3947,true,0.0746,0.3722,true,
TRO_Plass45,Weekday,9,35,2,0.1437,0.4677,true,-0.0628,-0.1751,false,
TRO_Plass45,Weekday,10,18,2,0.1952,0.5002,true,-0.3326,-0.5225,true,
TRO_Plass45,Weekday,11,16,2,0.1501,0.8644,true,-0.1895,0.0294,false,
ASK_Plass29,Weekday,8,51,2,0.2648,0.0016,false,0.3987,0.4062,true,
ASK_Plass29,Weekday,9,70,2,0.2241,0.0019,false,0.3754,0.672,true,
ASK_Plass29,Weekday,10,90,2,0.2351,0.0001,false,0.047,0.268,false,
ASK_Plass29,Weekday,11,91,2,0.2813,0.0,false,0.2146,0.1246,false,
ASK_Plass29,Weekday,12,20,2,0.2842,0.0796,true,0.2118,0.2364,false,
TRO_R_SR2-3,Weekday,9,26,2,0.1502,0.6024,true,0.2585,0.4783,true,
TRO_R_SR2-3,Weekday,10,17,2,0.2171,0.4006,true,0.4901,0.4902,true,
TRO_R_SR2-3,Weekday,11,28,2,0.1833,0.3055,true,0.0635,0.2846,false,
ASK_Plass23,Weekend,8,19,2,0.2295,0.2705,true,0.4614,0.7193,true,
ASK_Plass23,Weekend,9,28,2,0.2275,0.111,true,0.2163,0.4702,true,
ASK_Plass23,Weekend,10,25,2,0.1911,0.3222,true,-0.0203,-0.2692,false,
ASK_Plass23,Weekend,11,27,2,0.1531,0.5532,true,-0.0165,0.0308,false,
BAR_2_Plass9,Weekday,8,16,2,0.2068,0.5016,true,0.3985,0.4235,true,
BAR_2_Plass9,Weekday,9,23,2,0.1091,0.9477,true,-0.2958,-0.1265,false,
BAR_2_Plass9,Weekday,10,22,2,0.1213,0.9033,true,0.0765,0.2355,false,
BAR_2_Plass9,Weekday,11,17,2,0.1388,0.8991,true,0.2938,0.2675,false,
BAR_2_Plass9,Weekday,12,22,2,0.1296,0.8548,true,0.2715,0.2016,false,
ASK_Plass57,Weekend,8,23,2,0.2479,0.1192,true,0.7285,0.6937,true,
ASK_Plass57,Weekend,9,26,2,0.1867,0.3268,true,0.284,0.2843,false,
ASK_Plass57,Weekend,10,24,2,0.1227,0.8636,true,-0.227,0.0457,false,
OSL_S_KT149,Weekday,4,24,2,0.1713,0.4837,true,0.0902,0.3096,true,
OSL_S_KT149,Weekday,10,16,2,0.1247,0.965,true,0.2034,0.156,false,
OSL_S_KT149,Weekday,11,18,2,0.1507,0.8091,true,-0.0524,0.1723,false,
OSL_S_KT149,Weekday,12,46,2,0.1199,0.5263,true,0.2415,0.3289,true,
OSL_S_KT112,Weekend,12,15,2,0.1612,0.831,true,0.091,0.0786,false,
