L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.010300 nats  (excellent)
  Plug-in duration   : 0.017066 nats  (excellent)
  Idle gap           : 0.004499 nats  (excellent)
  Energy             : 0.003042 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0207   0.0151
  01   0.0115   0.0071
  02   0.0079   0.0062
  03   0.0110   0.0108
  04   0.0118   0.0157
  05   0.0042   0.0049
  06   0.0046   0.0048
  07   0.0087   0.0063
  08   0.0125   0.0064
  09   0.0108   0.0078
  10   0.0176   0.0128
  11   0.0259   0.0233
  12   0.0302   0.0221
  13   0.0383   0.0345
  14   0.0626   0.0667
  15   0.0937   0.0986
  16   0.1214   0.1321
  17   0.0930   0.1002
  18   0.0828   0.0874
  19   0.0829   0.0788
  20   0.0838   0.0928
  21   0.0667   0.0667
  22   0.0614   0.0631
  23   0.0357   0.0357
